    ppt1     ppt2         dist
       2        3      1655.29
       2       46      2926.78
       2        4      3883.30
       2       50      4214.10
       3       46      1777.36
       3       50      5293.55
       3        4      5375.87
       3       39      6453.68
       4       56      4148.49
       4       50      5621.98
       4       46      5820.48
       4      125      9750.01
       9      323      1984.60
       9      370      2472.57
       9       10      2517.22
       9      290      2880.61
      10       12      3547.34
      10      321      3614.06
      10      340      3873.79
      10      323      4480.30
      12      170      1249.89
      12      200      1576.47
      12      166      1582.44
      12      174      1857.86
      16      384       408.09
      16      411       518.87
      16       17       534.40
      16      446       739.26
      17      383       485.31
      17      394       490.62
      17      411       547.37
      17      442       582.91
      18      498       958.80
      18      638       974.26
      18      500      1542.63
      18      497      1959.13
      23      236      3352.71
      23       36      3471.31
      23      241      3591.95
      23       24      4001.25
      24       36      2607.68
      24      241      3269.27
      24      233      3710.53
      24       27      3779.09
      26      286       384.42
      26      278       453.79
      26      277       530.45
      26      291       882.85
      27       29      2719.66
      27      324      2946.75
      27      278      3270.69
      27      269      3626.88
      29       54      2656.52
      29       51      3112.74
      29      152      3330.34
      29      198      3724.27
      34      205       113.51
      34       35       122.41
      34      208       195.18
      34      206       230.70
      35      208       130.75
      35      205       137.24
      35      206       260.77
      35      210       310.83
      36      241      5026.42
      36      236      5849.37
      36      233      5879.46
      36      235      6948.01
      39       45      1516.65
      39       47      2701.85
      39       46      6616.65
      39      242      6820.18
      41       54      2722.43
      41      242      2891.02
      41       51      2908.61
      41       42      3012.02
      42      152      3668.78
      42       51      3700.32
      42      242      3923.17
      42       54      3966.95
      45       47      1430.81
      45      242      5567.36
      45       46      7680.01
      45       50      9827.65
      46       50      6982.41
      46       47      9104.56
      46       56      9902.48
      46      242     10254.38
      47      242      5641.39
      47       50     10974.86
      47       54     11197.49
      47       51     11264.74
      50      114      4795.61
      50      145      5416.12
      50      148      5967.19
      50      125      6180.31
      51      152       303.59
      51       54       526.85
      51      110      3270.20
      51      202      3378.28
      54      152       820.27
      54      110      3571.48
      54      198      3680.18
      54      202      3761.56
      56       58      7353.91
      56      122      8010.18
      56      125      8129.27
      56       61      9068.99
      58      122      1767.89
      58      125      2740.85
      58      330      3364.69
      58       61      3577.06
      61      182       243.26
      61      126       587.19
      61      119       673.63
      61      127       814.57
      63      330      4285.05
      63       82      4926.42
      63      340      5177.46
      63      122      5958.79
      68      243       648.00
      68      247      1078.07
      68      246      2893.24
      68      245      3151.40
      71      392       904.31
      71      246       952.86
      71      471      1395.17
      71      245      1557.60
      77      302       412.69
      77      303       566.04
      77      255       607.74
      77      264       801.56
      78      277       608.28
      78      303       855.39
      78      290       906.49
      78      286       951.26
      82      340       830.19
      82      330      1219.26
      82      135      1896.72
      82      179      2193.68
      88      471       771.29
      88      461       916.47
      88      468      1005.12
      88      475      1099.71
      90      554       315.75
      90      557       348.37
      90       95       410.95
      90      512       427.69
      91      511       586.81
      91      521       718.51
      91      531       728.27
      91      524       745.56
      93       94       301.92
      93      554       388.60
      93      523       402.20
      93       95       426.50
      94      523       117.75
      94       95       127.26
      94      554       163.31
      94      555       192.51
      95      523       106.00
      95      555       124.20
      95      557       134.54
      95      554       140.72
      96      101       301.39
      96       98       546.00
      96      610       571.79
      96      600       651.11
      98      577       431.42
      98      584       448.95
      98      576       505.45
      98       99       536.00
      99      581       433.45
