    ppt1     ppt2         dist
       1      238      3616.88
       1       44      4709.62
       1       47      5463.85
       1       22      6720.37
       4      109      1023.44
       4       59      5456.19
       4      123      8762.42
       4       40      8934.10
       8       64       780.11
       8      231      1475.77
       8      317      1596.44
       8       28      1770.94
      10      340      3873.79
      10       79      4437.67
      10      338      4659.33
      10      332      4661.47
      16       17       534.40
      16      385       597.56
      16      446       739.26
      16      379       756.26
      17      394       490.62
      17      442       582.91
      17      446       666.76
      17      379       681.66
      21      584      4761.36
      21      247      4893.32
      21      470      4904.12
      21      392      5218.90
      22       36      3228.89
      22      238      3394.28
      22       24      3933.15
      22       27      5872.17
      23       66      2543.15
      23      236      3352.71
      23       36      3471.31
      23      239      3532.76
      24       36      2607.68
      24      241      3269.27
      24      299      3388.46
      24      301      3719.74
      25      234       969.56
      25      235      1593.40
      25       75      1713.71
      25       69      1721.61
      26      285       279.55
      26      286       384.42
      26      288       405.91
      26      278       453.79
      27       28      1355.87
      27      301      1948.92
      27      317      2624.49
      27      324      2946.75
      28      317      1285.78
      28      301      1578.79
      28      270      1761.35
      28      271      1762.45
      36      241      5026.42
      36       66      5122.62
      36      236      5849.37
      36      299      5880.17
      40       44      4006.21
      40       42      4199.78
      40       47      5549.97
      40      123      5990.00
      42       52      2436.38
      42      123      2718.81
      42      141      4033.62
      42      149      5040.43
      44       47      2704.74
      44      238      5866.98
      44       52      6651.50
      44      123      8621.22
      47      238      7851.46
      47       52      9350.61
      47      123     11008.40
      47      141     12356.38
      52      141      3325.37
      52      123      4117.87
      52      158      4623.88
      52      140      4791.77
      59      125      4334.13
      59      194      4567.57
      59      132      5109.70
      59       61      5128.04
      61      121       223.61
      61      120       527.75
      61      119       673.63
      61      127       814.57
      64      231       703.09
      64      198      1876.41
      64      317      2316.30
      64      271      2504.40
      66      236       816.27
      66      241      1685.76
      66      239      2037.64
      66      235      3255.63
      67      239      2454.66
      67      247      3881.48
      67      236      4385.16
      67       70      5547.34
      69      297      1535.86
      69      237      1834.52
      69      250      1875.39
      69      235      1950.37
