    ppt1     ppt2         dist
      70      237      1534.73
      70      247      1667.33
      70       72      2203.20
      70      392      2262.68
      72      386       857.89
      72      385      1105.61
      72      379      1178.95
      72      237      1330.63
      73      439       560.03
      73      250       610.76
      73      386       774.46
      73      372       819.27
      74       78       441.08
      74      277       696.01
      74       75       715.29
      74       77       772.27
      75      276       372.20
      75      278      1070.46
      75      277      1111.40
      75       77      1120.77
      77      302       412.69
      77      303       566.04
      77      255       607.74
      77      254       898.01
      78      292       529.53
      78      277       608.28
      78      287       778.23
      78      300       825.55
      79       82       850.41
      79      139       864.52
      79      340       920.00
      79      332      1116.57
      82      332       303.08
      82      339       482.89
      82      338       526.77
      82      329       570.22
      83      330       469.54
      83      337       537.27
      83      331       872.30
      83      328       915.24
      84      328       220.43
      84      333       420.63
      84      339       445.57
      84      331       467.51
      85       86       476.32
      85      349       482.03
      85      348       499.92
      85      346       552.45
      86      349        10.20
      86      348       311.60
      86       87       476.94
      86      353       775.17
      87      341       449.40
      87      349       486.08
      87      346       675.32
      87      350       752.84
     109      123      9747.85
     109      194     10190.40
     109      125     10456.13
     109      146     10802.27
     113      140       426.77
     113      183       854.09
     113      158      1018.23
     113      149      1543.13
     119      127       272.62
     119      121       451.64
     119      120       560.74
     119      136       697.62
     120      137       399.37
     120      121       414.39
     120      132       561.70
     120      336       685.42
     121      127       616.55
     121      137       779.95
     121      132       964.37
     121      136      1030.53
     123      194      2722.59
     123      146      2934.93
     123      149      3082.25
     123      141      3113.95
     125      132       832.70
     125      137      1169.13
     125      134      1362.03
     125      336      1406.68
     127      179       636.80
     127      136       864.95
     127      135       901.62
     127      137       977.69
     131      133       519.23
     131      134       562.64
     131      336       680.75
     131      337       782.49
     132      137       439.87
     132      134       574.66
     132      336       598.99
     132      136       965.57
     133      136       463.91
     133      336       567.30
     133      135       638.02
     133      337       730.13
     134      336       509.61
     134      137       651.92
     134      136       908.53
     134      337      1335.70
     135      136       479.27
     135      179       550.04
     135      335       625.59
     135      138       635.26
     136      336       419.31
     136      137       542.89
     136      179       865.92
     136      335      1093.77
     137      336       290.00
     137      179      1273.40
     137      337      1545.94
     137      138      1597.97
     138      335       391.16
     138      179       468.65
     138      139       957.84
     138      336      1516.98
     139      335       580.83
     139      331       941.12
     139      333       965.26
     139      337      1023.00
     140      183       460.98
     140      149      1119.89
     140      150      1374.78
     140      158      1402.05
     141      183      1683.24
     141      149      1775.61
     141      158      1896.64
     141      150      2298.56
     146      194       612.50
     146      150      1049.23
     146      149      1295.39
     146      183      1921.32
     149      150       541.72
     149      183       718.62
     149      194      1843.69
     149      158      2505.55
     150      183       913.88
     150      194      1657.87
     150      179      2673.55
     150      158      2768.16
     158      198      1345.67
     158      183      1857.88
     158      231      2518.32
     158      194      4345.97
     179      335       773.55
     179      336      1267.69
     179      337      1668.20
     179      331      2125.56
     183      194      2508.03
     183      198      3050.69
     183      335      3753.49
     183      336      4073.70
     194      336      3381.69
     194      335      4030.03
     194      337      4564.30
     194      331      5240.05
     198      231      1182.95
     198      317      4192.68
     198      271      4363.82
     198      268      4538.08
     231      317      3015.25
     231      271      3181.34
     231      268      3358.31
     231      284      3561.32
     234      324      1161.39
     234      299      1380.80
     234      301      1687.64
     234      235      1761.45
     235      299      2023.84
     235      241      2053.44
     235      236      2691.73
     235      324      2922.84
     236      241      1653.65
     236      239      1935.65
     236      247      3589.63
     236      299      3788.05
     237      386      1207.84
     237      439      1944.14
     237      250      2039.63
     237      387      2079.81
     238      301      9735.08
     238      299     10098.44
     238      241     10521.99
     238      317     10830.98
     239      247      3123.31
     239      241      3551.54
     239      299      5722.87
     239      392      6649.90
     241      299      2284.96
     241      301      3456.42
     241      324      4110.79
     241      276      4915.85
     247      392      3568.97
     247      248      4212.42
     247      386      4216.60
     247      393      4683.39
     248      392       697.62
     248      393       777.79
     248      379       950.32
     248      380       992.83
     250      258       454.01
     250      297       746.94
     250      372       808.51
     250      259      1001.48
     251      252       249.54
     251      257       270.15
     251      260       371.65
     251      259       456.87
     252      253       267.09
     252      260       278.86
     252      272       431.39
     252      257       457.48
     253      295       317.72
     253      254       438.59
     253      260       492.35
     253      273       542.90
     254      295       333.24
     254      255       419.18
     254      273       697.14
     254      302       851.06
     255      295       697.79
     255      302       756.38
     255      273      1021.48
     255      294      1080.46
     257      259       204.69
     257      260       397.61
     257      272       541.32
     257      261       576.91
     258      259       581.23
     258      372       585.15
     258      366       773.66
     258      373       814.87
     259      366       514.13
     259      261       551.38
     259      260       580.85
     259      272       700.15
     260      272       178.39
     260      307       408.84
     260      273       476.79
     260      306       529.09
     261      307       460.11
     261      358       527.56
     261      272       575.97
     261      366       586.94
     268      271       246.45
     268      280       259.26
     268      284       262.72
     268      281       436.93
     270      284       263.80
     270      275       281.40
     270      288       430.17
     270      280       436.66
     271      284       380.25
     271      280       477.07
     271      317       483.61
     271      275       656.84
     272      307       251.84
     272      306       364.45
     272      273       378.71
     272      296       553.74
     273      306       253.25
     273      296       293.40
     273      295       366.31
     273      294       503.12
     275      288       150.85
     275      285       209.91
     275      284       277.35
     275      280       307.90
     276      278       700.93
     276      285       859.27
     276      286       957.00
     276      277       966.76
     277      286       343.95
     277      287       436.65
     277      289       519.77
     277      285       534.22
     278      285       494.29
     278      288       576.25
     278      286       712.44
     278      284       721.28
     280      284       198.37
     280      289       215.18
     280      281       230.11
     280      288       299.83
     281      289       115.17
     281      291       284.89
     281      286       308.55
     281      288       324.73
     284      288       361.72
     284      289       382.54
     284      285       469.80
     284      286       552.05
     285      288       127.58
     285      286       224.19
     285      289       316.83
     285      291       683.01
     286      288       220.06
     286      289       224.72
     286      291       499.04
     286      287       558.34
     287      290       281.31
     287      291       287.92
     287      289       562.69
     287      300       602.51
     288      289       210.30
     288      291       595.21
     288      290       987.33
     288      317      1085.39
     289      291       388.74
     289      290       797.74
     289      317      1111.80
     289      292      1157.32
     290      300       410.00
     290      291       434.55
     290      292       567.63
     290      303      1641.25
     291      300       832.90
     291      292       904.09
     291      317      1330.06
     291      303      1873.62
     292      300       312.93
     292      303      1093.25
     292      302      1510.29
     292      294      1934.10
     294      296       299.55
     294      306       503.71
     294      302       559.75
     294      295       696.65
     295      296       615.92
     295      306       619.54
     295      302       818.94
     295      307       821.13
     296      306       204.83
     296      307       543.09
     296      302       818.19
     296      303      1147.69
     297      372      1471.56
     297      366      1584.01
     297      307      1646.75
     297      306      1717.11
     299      301      1204.04
     299      324      1961.58
     299      317      3404.50
     299      302      4561.98
     300      303      1380.94
     300      302      1808.95
     300      317      2154.11
     300      306      2711.06
     301      324      1412.13
     301      317      2355.66
     301      303      4289.72
     301      302      4322.74
     302      303       446.75
     302      306       999.97
     302      307      1337.21
     302      358      2003.66
     303      306      1348.29
     303      307      1689.82
     303      358      2286.48
     303      347      2287.99
     306      307       341.88
     306      358      1029.61
     306      366      1355.76
     306      348      1505.27
     307      358       750.32
     307      366      1023.43
     307      371      1258.01
     307      353      1346.32
     317      324      1739.14
     317      347      5255.79
     317      358      5349.33
     317      348      5486.67
     324      366      4775.57
     324      358      4797.64
     324      372      4987.62
     324      371      5087.47
     328      333       233.53
     328      331       247.35
     328      339       362.82
     328      330       457.08
     329      338       218.41
     329      339       243.82
     329      332       319.53
     329      333       462.22
     330      331       486.00
     330      333       612.86
     330      337       697.65
     330      339       808.70
     331      333       166.21
     331      339       400.28
     331      332       744.69
     331      337       789.17
     332      338       224.06
     332      339       366.81
     332      333       582.37
     332      340       835.46
     333      339       234.31
     333      338       643.24
     333      337       950.84
     333      340      1394.59
     335      337      1203.04
     335      336      1485.73
     335      339      1621.65
     335      338      1907.06
     336      337      1261.91
     336      339      2406.93
     336      338      2806.44
     336      340      3268.14
     337      339      1183.22
     337      338      1592.01
     337      340      2217.68
     337      347     11066.11
     338      339       409.22
     338      340       921.87
     338      347      9800.40
     338      348     10398.09
     339      340      1198.61
     339      347     10126.79
     339      348     10722.99
     339      346     10764.51
     340      347      8930.50
     340      348      9526.19
     340      346      9580.51
     340      349      9778.72
     341      351       645.82
     341      350       710.66
     341      434       808.45
     341      346       892.55
     342      361       452.83
     342      419       548.09
     342      432       644.46
     342      423       645.93
     343      431       371.65
     343      345       470.11
     343      434       633.97
     343      351       694.08
     344      408       393.28
     344      433       395.68
     344      431       405.12
     344      361       440.37
     345      354       383.82
     345      433       556.42
     345      431       577.60
     345      388       851.81
     346      349       890.29
     346      348      1026.96
     346      347      1126.14
     346      351      1409.80
     347      348       600.17
     347      349       853.10
     347      358      1348.55
     347      353      1574.93
     348      349       304.87
     348      358       829.78
     348      353       974.76
     348      350      1169.94
     349      353       772.33
     349      358       836.73
     349      350       902.84
     349      371      1546.51
     350      353       360.17
     350      434       839.34
     350      358       982.22
     350      371      1003.01
     351      434       479.29
     351      431       826.00
     351      361      1314.58
     351      353      1410.01
     353      358       624.31
     353      371       823.77
     353      366       994.22
     353      375       995.61
     354      433       812.00
     354      431       955.76
     354      388       967.20
     354      389       967.69
     358      366       890.38
     358      371       930.13
     358      375      1254.75
     358      373      1295.96
     361      432       282.67
     361      419       474.89
     361      408       548.57
     361      422       582.90
     366      371       313.85
     366      373       481.49
     366      375       632.85
     366      372       761.64
     371      375       363.13
     371      373       382.46
     371      374       710.86
     371      372       796.94
     372      376       299.54
     372      373       438.14
     372      438       551.20
     372      439       645.79
     373      375       323.65
     373      376       502.90
     373      378       531.09
     373      374       587.18
     374      423       198.25
     374      378       312.41
     374      375       349.79
     374      419       399.10
     375      378       477.78
     375      423       545.71
     375      376       685.29
     375      421       716.33
     376      438       252.96
     376      378       417.90
     376      439       514.38
     376      377       647.53
     377      435       311.09
     377      438       395.25
     377      421       410.56
     377      387       430.00
     378      421       326.96
     378      438       356.43
     378      423       394.90
     378      419       591.88
     379      394       680.95
     379      380      1021.91
     379      442      1110.65
     379      385      1151.14
     380      397       548.02
     380      381       575.68
     380      394       614.93
     380      393       881.37
     381      397       316.90
     381      437       696.80
     381      442       744.17
     381      394       778.64
     385      387       523.97
     385      435       738.34
     385      439       954.08
     385      438       996.78
     386      439       801.39
     386      387       872.01
     386      438      1256.42
     386      435      1539.37
     387      439       447.28
     387      438       530.09
     387      435       677.04
     387      421       827.64
     388      389        12.81
     388      433       401.62
     388      390       402.04
     388      436       465.31
     389      390       389.24
     389      433       412.49
     389      436       466.18
     389      430       529.94
     390      440       486.41
     390      430       606.77
     390      436       626.64
     390      429       724.46
     392      393      1150.50
     392      470      1632.48
     392      405      1674.60
     392      394      1916.28
     393      405       543.47
     393      470       839.44
     393      437      1320.98
     393      400      1375.19
     394      397       485.83
     394      442       493.13
     394      446      1090.18
     394      426      1099.54
     397      442       460.00
     397      437      1010.73
     397      426      1238.08
     397      440      1251.09
     400      437       302.36
     400      405       930.22
     400      470      1482.10
     400      442      1736.43
     405      470       663.53
     405      437       974.39
     405      442      1911.94
     405      426      2678.77
     408      445       346.63
     408      433       391.84
     408      432       523.18
     408      447       612.08
     410      447       350.69
     410      446       412.41
     410      445       425.18
     410      436       551.18
     419      423       210.95
     419      422       311.83
     419      432       355.79
     419      421       395.55
     421      423       299.87
     421      422       351.95
     421      435       415.84
     421      438       518.43
     422      432       320.67
     422      435       420.20
     422      423       423.29
     422      445       789.54
     423      432       561.26
     423      435       685.83
     423      438       719.64
     423      445      1184.31
     424      440       630.86
     424      430      1205.17
     424      429      1210.91
     424      436      1282.16
     426      429       123.43
     426      446       210.12
     426      430       290.03
     426      447       373.56
     429      430       200.26
     429      436       315.63
     429      446       323.73
     429      447       372.83
     430      436       127.24
     430      447       270.39
     430      446       428.38
     430      445       471.68
     431      434       519.01
     431      433       685.94
     431      432       911.03
     431      445      1144.43
     432      445       670.45
     432      435       722.54
     432      433       870.36
     432      447       909.32
     433      445       631.81
     433      436       748.95
     433      447       832.76
     433      446      1191.92
     434      445      1563.57
     434      435      1817.72
     434      447      1834.30
     434      436      1843.26
     435      438       680.78
     435      445       940.61
     435      447      1007.78
     435      439      1011.39
     436      447       200.49
     436      445       350.18
     436      446       471.69
     436      440       718.35
     437      442      1434.65
     437      470      1598.34
     437      440      1970.67
     437      446      2290.80
     438      439       491.04
     438      445      1585.90
     438      447      1683.79
     438      446      1729.38
     439      445      1951.94
     439      446      1963.45
     439      447      1998.31
     439      442      2622.60
     440      447       886.09
     440      442       892.97
     440      446       900.53
     440      445      1062.12
     442      446       857.79
     442      447      1151.13
     442      445      1421.83
     442      470      2542.04
     445      447       271.96
     445      446       621.90
     445      470      3923.68
     445      584     10561.64
     446      447       364.01
     446      470      3309.00
     446      584      9974.66
     446      518     15313.67
     447      470      3653.31
     447      584     10290.63
     447      518     15633.94
     470      584      6745.77
     470      518     12053.87
     518      584      5349.96
