    ppt1     ppt2         dist
       5      169       611.84
       5      173       731.32
       5      171       797.57
       5      223       803.14
       6      171       870.10
       6      229       915.13
       6      173      1098.02
       6      169      1218.11
       9      323      1984.60
       9      293      2154.34
       9      298      2239.27
       9      173      2273.29
      12      170      1249.89
      12      178      1395.55
      12      200      1576.47
      12      166      1582.44
      34      205       113.51
      34       35       122.41
      34      208       195.18
      34      206       230.70
      35      208       130.75
      35      205       137.24
      35      206       260.77
      35      204       270.56
      76      264      1234.15
      76      314      1648.46
      76      263      1696.21
      76      265      1838.73
     114      180       821.66
     114      147      1058.68
     114      151      1323.86
     114      124      1392.42
     115      147      2783.02
     115      151      2852.20
     115      180      2948.73
     115      188      3069.74
     117      181       263.18
     117      126       312.03
     117      130       502.59
     117      129       576.85
     124      180       639.02
     124      148       644.44
     124      181       813.09
     124      147       903.14
     126      181       306.76
     126      182       421.05
     126      130       575.66
     126      129       792.13
     128      191       394.46
     128      184       445.65
     128      190       449.03
     128      203       467.20
     129      130       346.54
     129      185       411.73
     129      190       565.21
     129      186       715.63
     130      185       694.62
     130      190       728.27
     130      181       742.89
     130      176       918.95
     147      151       317.40
     147      148       491.15
     147      186       820.36
     147      188       828.77
     148      151       556.44
     148      181       615.52
     148      186       677.88
     148      185       814.33
     151      188       512.07
     151      186       561.81
     151      185       851.24
     151      227      1050.48
     163      224       141.42
     163      167       169.61
     163      225       270.47
     163      219       292.62
     164      168       170.75
     164      165       173.46
     164      174       194.16
     164      167       254.95
     165      174       232.44
     165      166       276.81
     165      167       315.39
     165      168       333.92
     166      174       276.37
     166      200       356.55
     166      222       405.20
     166      168       562.31
     167      224       162.02
     167      226       172.80
     167      225       208.66
     167      168       222.25
     168      226       213.52
     168      174       330.72
     168      225       352.60
     168      224       371.54
     169      223       394.19
     169      171       452.66
     169      229       602.52
     169      200       670.47
     170      177       402.05
     170      221       621.39
     170      334       826.83
     170      213       918.98
     171      173       410.31
     171      229       680.42
     171      223       834.40
     171      200      1122.17
     173      229      1090.03
     173      223      1119.47
     173      200      1334.32
     173      222      1649.80
     174      222       224.89
     174      200       459.78
     174      226       530.08
     174      224       605.65
     175      176       310.93
     175      193       479.40
     175      190       630.16
     175      334       699.81
     176      190       320.16
     176      193       397.22
     176      192       599.14
     176      191       801.21
     177      221       458.26
     177      213       523.25
     177      192       667.63
     177      219       689.42
     178      334       503.54
     178      193      1122.79
     178      192      1274.84
     178      221      1548.51
     180      181      1401.86
     180      182      1613.48
     180      186      1625.69
     180      188      1721.62
     181      182       543.31
     181      185       800.62
     181      186       895.41
     181      188      1240.40
     182      185      1300.38
     182      186      1433.39
     182      190      1698.67
     182      188      1782.75
     184      203       265.00
     184      204       272.68
     184      227       396.61
     184      208       431.49
     185      186       303.94
     185      188       624.82
     185      190       865.85
     185      227       923.11
     186      188       362.74
     186      227       805.24
     186      203       966.31
     186      204       973.85
     188      227       553.66
     188      203       876.01
     188      204       881.17
     188      208       966.08
     190      193       559.38
     190      192       629.61
     190      191       680.56
     190      203       913.63
     191      192       346.93
     191      211       410.91
     191      213       442.57
     191      207       444.84
     192      193       272.98
     192      213       573.53
     192      211       651.95
     192      207       760.58
     193      334       620.15
     193      213       839.29
     193      211       924.91
     193      207      1025.66
     200      223       352.28
     200      222       385.02
     200      221       980.84
     200      226       989.20
     203      204         9.00
     203      208       203.25
     203      205       315.32
     203      207       318.43
     204      208       194.54
     204      205       306.62
     204      207       310.37
     204      206       344.33
     205      208       112.09
     205      206       128.51
     205      210       176.65
     205      207       220.82
     206      210       110.16
     206      207       119.27
     206      208       178.37
     206      209       205.73
     207      208       209.81
     207      210       214.80
     207      211       216.92
     207      212       272.18
     208      210       266.83
     208      209       339.00
     208      212       412.70
     208      211       426.65
     209      210        99.20
     209      212       201.21
     209      214       243.98
     209      216       306.10
     210      212       172.63
     210      214       276.80
     210      216       323.67
     210      220       327.89
     211      213       195.03
     211      220       243.31
     211      212       267.29
     211      215       357.26
     212      214       155.91
     212      220       158.76
     212      216       172.70
     212      215       232.00
     213      220       302.19
     213      215       381.76
     213      219       414.74
     213      216       461.46
     214      216        71.59
     214      215       190.59
     214      220       206.40
     214      218       210.64
     215      220       116.43
     215      216       120.00
     215      218       125.63
     215      219       131.24
     216      218       151.60
     216      220       159.86
     216      217       198.08
     216      219       235.85
     217      218        87.66
     217      225       182.27
     217      224       202.28
     217      219       210.43
     218      219       135.16
     218      224       235.85
     218      220       238.84
     218      225       257.13
     219      220       229.13
     219      224       258.12
     219      225       337.02
     219      221       427.77
     220      224       461.34
     220      225       495.65
     220      221       612.15
     220      226       646.79
     221      224       469.24
     221      225       604.12
     221      226       662.90
     221      222       928.07
     222      223       541.36
     222      226       690.50
     222      224       807.49
     222      225       822.88
     223      229       668.68
     223      226      1228.99
     223      224      1322.86
     223      225      1355.10
     224      225       134.89
     224      226       228.57
     224      227      1361.12
     224      334      1678.29
     225      226       152.00
     225      227      1315.12
     225      334      1798.11
     225      229      1871.59
     226      227      1445.40
     226      229      1726.62
     226      334      1902.84
     226      323      4926.74
     227      334      2052.06
     227      229      3157.01
     227      323      6370.15
     227      269      7152.31
     229      334      3096.14
     229      323      3224.49
     229      269      3998.77
     229      312      4209.49
     263      314       413.81
     263      266       474.43
     263      264       479.70
     263      265       605.91
     264      314       631.35
     264      266       856.89
     264      265       876.18
     264      304      1000.87
     265      304       125.60
     265      266       233.73
     265      314       244.90
     265      326       274.87
     266      310       226.53
     266      305       226.77
     266      314       296.33
     266      304       300.50
     267      314      1181.24
     267      310      1202.48
     267      305      1203.42
     267      363      1252.26
     269      283       255.00
     269      282       498.97
     269      312       716.06
     269      323      1012.66
     282      283       246.87
     282      312       664.03
     282      298      1071.09
     282      320      1275.60
     283      312       670.24
     283      298      1104.18
     283      323      1210.33
     283      320      1398.07
     293      320       428.05
     293      298       610.95
     293      312      1030.59
     293      323      1600.68
     298      312       435.02
     298      320       524.33
     298      323      1101.16
     298      314      2757.52
     304      326       156.52
     304      367       260.49
     304      325       289.77
     304      305       309.25
     305      310         1.00
     305      368       146.25
     305      363       224.96
     305      367       269.26
     310      368       146.71
     310      363       224.76
     310      367       270.22
     310      369       278.63
     312      320       817.45
     312      323       986.55
     312      314      2918.69
     312      326      3429.87
     313      356       390.29
     313      360       510.31
     313      318       550.26
     313      325       616.41
     314      326       511.24
     314      325       601.35
     314      367       610.27
     314      368       630.50
     318      319       336.59
     318      325       706.61
     318      326       848.78
     318      356       895.04
     319      325       997.42
     319      356      1016.23
     319      360      1100.14
     319      326      1127.37
     320      323      1625.48
     320      363      2693.20
     320      368      2696.58
     320      326      2746.79
     323      363      4317.93
     323      368      4321.94
     323      326      4358.77
     323      367      4406.64
     325      326       150.03
     325      367       349.06
     325      360       432.70
     325      369       486.56
     326      367       226.88
     326      360       370.44
     326      369       372.67
     326      368       403.72
     334      363      9464.12
     334      365      9500.76
     334      368      9527.55
     334      364      9592.84
     355      356       267.59
