    ppt1     ppt2         dist
      20      490       817.52
      20      509       852.48
      20      492      1200.12
      20      503      1201.70
      89      474       486.55
      89      476       715.94
      89      479       944.85
      89      480      1096.30
     469      476      1214.11
     469      474      1292.81
     469      480      2168.98
     469      481      2198.83
     474      476       361.01
     474      480      1215.94
     474      479      1386.97
     474      481      1625.88
     476      480      1023.06
     476      481      1316.81
     476      479      1459.73
     476      482      1501.04
     478      491       480.76
     478      481       570.01
     478      480       632.50
     478      490       773.10
     479      480       992.33
     479      481      1669.28
     479      491      1829.01
     479      482      1972.34
     480      481       685.44
     480      491       916.41
     480      482       986.70
     480      503      1210.58
     481      482       303.07
     481      491       375.58
     481      503       589.65
     481      490       941.03
     482      491       398.97
     482      503       428.22
     482      492       890.49
     482      490       898.61
     490      503       507.49
     490      491       565.69
     490      509       741.03
     490      492       942.31
     491      503       306.11
     491      492       970.41
     491      509       971.51
     491      643      3296.24
     492      509       348.18
     492      503       667.53
     492      643      2728.00
     492      585      3555.25
     503      509       678.11
     503      643      3068.35
     503      585      3922.83
     503      535      5070.54
     509      643      2463.39
     509      585      3306.20
     509      535      4496.13
     509      532      4690.83
     532      535       428.51
     532      534       609.53
     532      585      1616.90
     532      643      2288.65
     534      535       725.39
     534      585      2006.90
     534      643      2771.12
     535      585      1289.97
     535      643      2046.68
     585      643       858.69
