    ppt1     ppt2         dist
       7      230      1722.13
       7      316      1967.26
       7      199      2074.56
       7      228      2094.04
      18      498       958.80
      18      638       974.26
      18       19      1423.59
      18      500      1542.63
      19      508       785.13
      19      501       988.32
      19      507      1113.34
      19      638      1196.05
      30       33       302.17
      30       31       480.75
      30      154       560.60
      30      162       669.79
      31      154       229.39
      31      153       416.76
      31       33       487.12
      31      156       505.59
      32      160       216.89
      32      161       244.46
      32      159       244.57
      32      162       343.63
      33      162       368.17
      33      156       434.33
      33      161       533.67
      33      154       667.90
      54      110      3571.48
      54      202      3761.56
      54       55      3788.14
      54      142      3935.52
      55      110       505.89
      55      196       581.86
      55      197       681.12
      55      143       709.05
      65      246      3230.35
      65      308      4484.39
      65      256      4585.44
      65      274      4974.44
      88      489      2022.69
      88      246      2128.32
      88      448      2254.54
      88      451      2329.30
      97      501       706.12
      97      622       796.60
      97      633       861.32
      97      614       884.25
     105      654       607.45
     105      659      1043.60
     105      685      1578.56
     105      487      1875.69
     110      143       625.70
     110      142       710.07
     110      202       732.82
     110      196       801.38
     142      202       210.06
     142      153       341.95
     142      156       483.53
     142      143       625.42
     143      196       411.10
     143      156       513.44
     143      195       537.24
     143      162       587.07
     153      202       349.75
     153      154       494.00
     153      156       587.61
     153      155       825.65
     154      155       497.81
     154      187       632.95
     154      156       734.07
     154      202       843.17
     155      187       368.70
     155      202      1143.09
     155      156      1222.52
     155      162      1438.33
     156      162       330.04
     156      161       536.93
     156      160       659.78
     156      202       687.47
     157      201       365.20
     157      195       369.44
     157      196       440.84
     157      159       512.84
     159      195       188.48
     159      201       197.99
     159      160       275.18
     159      161       400.41
     160      161       148.66
     160      162       361.11
     160      201       441.28
     160      195       453.98
     161      162       219.73
     161      195       561.43
     161      201       581.49
     161      196       753.04
     162      195       693.83
     162      201       762.86
     162      196       817.00
     162      202      1012.56
     172      197       441.47
     172      228       691.32
     172      201       858.09
     172      195       893.60
     187      202      1427.08
     187      195      2170.40
     187      196      2220.14
     187      201      2249.31
     195      201       212.90
     195      196       291.82
     195      197       841.49
     195      202      1334.04
     196      201       492.85
     196      197       700.27
     196      202      1197.06
     196      228      1403.33
     197      228       707.73
     197      199       844.90
     197      201       912.81
     197      230      1101.22
     199      228       305.45
     199      230       377.83
     199      201      1727.48
     199      202      2512.74
     201      228      1516.53
     201      202      1520.31
     201      230      1906.15
     201      316      5413.79
     202      228      2472.41
     202      230      2843.99
     202      316      6371.26
     202      309      8240.35
     228      230       397.78
     228      316      3959.56
     228      309      5790.69
     228      274      6977.99
     230      316      3564.45
     230      309      5456.61
     230      274      6590.59
     230      308      6980.32
     246      489      3454.45
     246      451      3966.93
     246      448      4041.20
     246      477      4147.09
     256      308       390.00
     256      274       567.74
