    ppt1     ppt2         dist
      11      327      2893.64
      11      321      5152.02
      11      370      5287.55
      11      279      5407.08
      39       45      1516.65
      39       48      6760.33
      39      152     11961.70
      39      145     13816.00
      45       48      7637.02
      45      152     11024.01
      45      111     13048.17
      45      145     13290.01
      48      118     10745.36
      48      145     11200.58
      48      152     11704.71
      48      189     11952.91
      68      243       648.00
      68      244      1945.81
      68      245      3151.40
      68      240      3519.88
      71      249       579.39
      71      471      1395.17
      71      245      1557.60
      71      473      2042.16
     111      152      2100.65
     111      189      4062.24
     111      145      4711.54
     111      327      5581.22
     118      145      2041.84
     118      189      2749.08
     118      327      4289.78
     118      152      6329.46
     145      189       863.69
     145      327      3650.54
     145      152      4395.19
     145      279      9286.67
     152      189      4091.50
     152      327      6567.35
     152      279      8253.03
     152      370      8372.59
     189      327      3100.96
     189      279      8423.24
     189      370      8447.14
     189      321      9727.94
     232      240      1243.26
     232      243      3446.52
     232      249      4656.75
     232      244      5524.07
     240      243      3000.52
     240      249      5110.59
     240      244      5263.00
     240      245      5924.11
     243      244      2285.77
     243      245      3236.21
     243      249      3326.15
     243      472      3910.40
     244      245      1534.85
     244      472      1628.07
     244      473      2124.88
     244      471      2805.37
     245      473       861.44
     245      471      1271.97
     245      472      1602.12
     245      468      1970.06
     249      471      1970.29
     249      473      2595.91
     249      384      2777.66
     249      468      2890.66
     262      357       345.40
     262      418       570.25
     262      352       591.05
     262      420       900.69
     279      370       209.39
     279      311      2540.10
     279      321      2662.70
     279      359      3608.01
     311      321       448.13
     311      359      1880.67
     311      370      2352.62
     311      352      2583.56
     321      359      2281.25
     321      370      2461.95
     321      352      2982.90
     321      357      3413.93
     327      370      7213.20
     327      359      9963.28
     327      352     10657.93
     327      357     10992.80
     352      357       555.96
     352      359       703.05
     352      418      1126.06
     352      420      1468.89
     357      418       867.17
     357      359      1162.11
     357      420      1165.84
     357      384      2528.66
     359      418      1828.43
     359      420      2171.72
     359      370      3492.12
     359      384      3641.31
     370      418      5052.33
     370      420      5351.73
     370      384      6552.06
     370      425      7320.51
     384      428      1440.01
     384      425      1504.73
     384      420      1512.00
     384      444      1578.97
     395      398       256.56
     395      483       699.55
     395      414       879.96
     395      467      1328.14
     398      483       545.47
     398      414       701.57
     398      467      1181.17
     398      444      1984.12
     414      483      1062.53
     414      467      1592.77
     414      444      1906.07
     414      428      2182.48
     418      420       344.42
     418      425      2268.19
     418      428      2388.17
     418      444      2657.42
     420      425      1978.71
     420      428      2084.38
     420      444      2348.86
     420      483      4604.32
     425      428       211.01
     425      444       459.36
     425      483      2981.13
     425      467      3617.97
     428      444       276.41
     428      483      2781.14
     428      467      3417.33
     428      471      4226.39
     444      483      2523.46
     444      467      3160.58
     444      471      4049.33
     444      465      4063.09
     452      664       824.55
     452      465      1118.93
     452      488      1333.45
     452      475      1668.67
     461      468       192.42
     461      475       233.90
     461      488       585.92
     461      471      1015.03
     465      488       547.39
     465      475       863.01
     465      467       902.72
     465      468      1214.21
     467      483       637.31
     467      488      1161.70
     467      475      1252.55
     467      468      1517.10
     468      475       351.20
     468      488       693.54
     468      471       951.43
     468      473      1301.36
     471      473      1033.68
     471      475      1248.48
     471      488      1600.73
     471      483      2224.30
     472      473      1387.63
     472      475      2843.21
     472      488      3079.07
     472      664      3711.84
     473      475      1643.93
     473      488      1952.54
     473      483      3127.05
     473      664      3214.93
     475      488       354.12
     475      483      1783.75
     475      664      2208.33
     475      502      3359.74
     483      488      1761.30
     483      664      3394.45
     483      502      4616.60
     483      506      4735.22
     488      664      1930.70
     488      502      3115.46
     488      505      3208.25
     488      506      3234.78
     502      506       119.87
     502      504       306.62
     502      505       311.77
     502      664      1223.85
     504      506       207.08
     504      505       225.89
     504      664      1513.79
     505      506       292.91
     505      664      1388.90
     506      664      1343.17
