FID_hru_pa,ORIG_FID,HRU_ID,HRUTYPE_IN,HRU_ROW,HRU_COL,HRU_X,HRU_Y,X,Y,Unique_ID,Lay1_Zn,Lay2_Zn,Lay3_Zn
52979,52742,80757,1,199,369,632350,4028150,632368.00,4028170.00,37,0,9,10
54437,54393,79160,1,195,396,635050,4028550,635098.00,4028600.00,38,0,9,10
115313,118575,14234,1,36,24,597850,4044450,597840.00,4044480.00,90,1,3,10
29195,29114,104225,1,257,289,624350,4022350,624378.00,4022350.00,40,0,2,10
118695,118579,14238,1,36,28,598250,4044450,598249.00,4044440.00,95,1,3,10
118696,118580,14239,1,36,29,598350,4044450,598355.00,4044440.00,523,1,3,10
23960,23886,109553,1,270,339,629350,4021050,629376.00,4021040.00,43,0,8,10
21605,21365,111904,1,276,254,620850,4020450,620835.00,4020480.00,44,0,2,10
115316,118585,14244,1,36,34,598850,4044450,598849.00,4044440.00,515,1,3,10
118315,118151,14622,1,37,6,596050,4044350,596068.00,4044340.00,518,1,2,10
115269,118156,14627,1,37,11,596550,4044350,596564.00,4044330.00,519,1,3,10
26173,25917,107524,1,265,340,629450,4021550,629450.00,4021560.00,48,0,5,10
29602,29569,103868,1,256,338,629250,4022450,629242.00,4022500.00,49,0,8,10
115269,118156,14627,1,37,11,596550,4044350,596565.00,4044330.00,522,1,3,10
118329,118172,14643,1,37,27,598150,4044350,598159.00,4044340.00,557,1,3,10
48730,48563,84698,1,209,250,620450,4027150,620444.00,4027120.00,52,0,2,10
55993,55467,77798,1,192,252,620650,4028850,620607.00,4028860.00,53,0,8,10
118331,118174,14645,1,37,29,598350,4044350,598344.00,4044360.00,555,1,3,10
71072,70492,62779,1,155,255,620950,4032550,620982.00,4032510.00,55,0,4,10
118333,118176,14647,1,37,31,598550,4044350,598551.00,4044350.00,526,1,3,10
56114,55614,77945,1,192,399,635350,4028850,635383.00,4028890.00,57,0,9,10
118345,118192,14663,1,37,47,600150,4044350,600160.00,4044380.00,513,1,3,10
60927,60428,73015,1,180,341,629550,4030050,629557.00,4030060.00,59,0,2,10
73604,73446,60049,1,148,367,632150,4033250,632195.00,4033210.00,60,0,9,10
118349,118197,14668,1,37,52,600650,4044350,600637.00,4044350.00,587,1,3,10
80804,80292,53091,1,131,311,626550,4034950,626593.00,4034950.00,62,0,9,10
118351,118199,14670,1,37,54,600850,4044350,600886.00,4044360.00,590,1,3,10
73853,73711,59502,1,147,226,618050,4033350,618065.00,4033380.00,64,0,2,10
82843,82552,50479,1,125,135,608950,4035550,609000.00,4035560.00,65,0,4,10
69605,69559,63470,1,157,134,608850,4032350,608882.00,4032350.00,66,0,2,10
74460,74389,58556,1,145,92,604650,4033550,604618.00,4033580.00,67,0,2,10
118354,118202,14673,1,37,57,601150,4044350,601153.00,4044330.00,580,1,3,10
86583,86230,46849,1,116,159,611350,4036450,611338.00,4036480.00,69,0,2,10
90830,90262,42761,1,106,131,608550,4037450,608563.00,4037480.00,70,0,2,10
115279,118204,14675,1,37,59,601350,4044350,601378.00,4044330.00,581,1,3,10
97520,97179,35874,1,89,146,610050,4039150,610023.00,4039130.00,72,0,2,10
94807,94758,38325,1,95,161,611550,4038550,611530.00,4038510.00,73,0,2,10
85875,85453,47696,1,118,194,614850,4036250,614858.00,4036290.00,74,0,2,10
83949,83824,49315,1,122,189,614350,4035850,614302.00,4035840.00,75,0,2,10
86986,86665,46472,1,115,188,614250,4036550,614282.00,4036550.00,76,0,6,10
115299,118294,14765,1,37,149,610350,4044350,610341.00,4044340.00,107,1,3,10
115304,118299,14770,1,37,154,610850,4044350,610858.00,4044330.00,692,1,4,10
84025,83917,49408,1,122,282,623650,4035850,623633.00,4035880.00,79,0,2,10
102034,101750,31513,1,78,251,620550,4040250,620575.00,4040290.00,80,0,9,10
97273,96913,36420,1,90,286,624050,4039050,624051.00,4039100.00,81,0,9,10
117969,117766,15049,1,38,27,598150,4044250,598194.00,4044240.00,512,1,3,10
84043,83939,49430,1,122,304,625850,4035850,625858.00,4035860.00,83,0,2,10
87452,87181,46176,1,114,298,625250,4036650,625217.00,4036650.00,84,0,2,10
101264,100880,32267,1,80,193,614750,4040050,614793.00,4040070.00,85,0,2,10
100548,100064,33075,1,82,189,614350,4039850,614352.00,4039890.00,86,0,2,10
102337,102093,31044,1,77,188,614250,4040350,614226.00,4040350.00,87,0,2,10
117970,117767,15050,1,38,28,598250,4044250,598256.00,4044250.00,568,1,3,10
101197,100791,32178,1,80,104,605850,4040050,605856.00,4040100.00,89,0,7,10
115228,117768,15051,1,38,29,598350,4044250,598355.00,4044250.00,572,1,3,10
115250,117803,15086,1,38,64,601850,4044250,601804.00,4044250.00,99,1,3,10
122365,122226,10577,1,27,21,597550,4045350,597508.00,4045320.00,92,0,3,10
118037,117867,15150,1,38,128,608250,4044250,608235.00,4044250.00,659,1,4,10
115186,117345,15440,1,39,12,596650,4044150,596633.00,4044140.00,521,1,3,10
115193,117370,15465,1,39,37,599150,4044150,599154.00,4044170.00,530,1,3,10
115198,117383,15478,1,39,50,600450,4044150,600421.00,4044170.00,582,1,3,10
114594,114554,18333,1,46,63,601750,4043450,601740.00,4043420.00,97,0,4,10
117619,117389,15484,1,39,56,601050,4044150,601072.00,4044160.00,579,1,3,10
115201,117392,15487,1,39,59,601350,4044150,601365.00,4044130.00,576,1,3,10
117230,116946,15853,1,40,19,597350,4044050,597349.00,4044080.00,91,1,3,10
115149,116953,15860,1,40,26,598050,4044050,598077.00,4044100.00,531,1,3,10
119902,119893,13116,1,33,124,607850,4044750,607825.00,4044770.00,102,0,3,10
115150,116956,15863,1,40,29,598350,4044050,598349.00,4044050.00,556,1,3,10
123218,123130,9857,1,25,113,606750,4045550,606711.00,4045540.00,104,0,3,10
115166,117002,15909,1,40,75,602950,4044050,602971.00,4044050.00,609,1,3,10
121323,121137,11924,1,30,150,610450,4045050,610438.00,4045060.00,106,0,3,10
117300,117044,15951,1,40,117,607150,4044050,607173.00,4044040.00,103,1,3,10
117325,117074,15981,1,40,147,610150,4044050,610175.00,4044070.00,675,1,4,10
42466,42200,91327,1,225,383,633750,4025550,633723.00,4025570.00,109,0,2,10
115181,117076,15983,1,40,149,610350,4044050,610327.00,4044040.00,689,1,4,10
64452,64389,68856,1,170,242,619650,4031050,619617.00,4031060.00,111,0,5,10
62656,62373,70900,1,175,256,621050,4030550,621078.00,4030580.00,112,0,8,10
67575,67253,66036,1,163,264,621850,4031750,621819.00,4031780.00,113,0,2,10
116882,116574,16293,1,41,53,600750,4043950,600791.00,4043940.00,588,1,3,10
58182,57923,75382,1,186,272,622650,4029450,622686.00,4029470.00,115,0,6,10
48848,48706,84841,1,209,393,634750,4027150,634763.00,4027160.00,116,0,9,10
116884,116577,16296,1,41,56,601050,4043950,601033.00,4043990.00,578,1,3,10
67959,67704,65675,1,162,309,626350,4031850,626322.00,4031840.00,118,0,5,10
115125,116580,16299,1,41,59,601350,4043950,601309.00,4043960.00,577,1,3,10
75007,75005,58360,1,144,302,625650,4033650,625638.00,4033610.00,120,0,2,10
73912,73784,59575,1,147,299,625350,4033350,625342.00,4033320.00,121,0,2,10
115129,116609,16328,1,41,88,604250,4043950,604232.00,4043920.00,631,1,3,10
53636,53474,79865,1,197,289,624350,4028350,624377.00,4028340.00,123,0,2,10
68301,68097,65256,1,161,296,625050,4031950,625048.00,4032000.00,124,0,6,10
116501,116156,16687,1,42,41,599550,4043850,599597.00,4043870.00,538,1,3,10
116528,116189,16720,1,42,74,602850,4043850,602858.00,4043860.00,600,1,3,10
116140,115771,17114,1,43,62,601650,4043750,601674.00,4043730.00,98,1,3,10
115066,115777,17120,1,43,68,602250,4043750,602220.00,4043730.00,96,1,3,10
115715,115316,17471,1,44,13,596750,4043650,596733.00,4043660.00,524,1,3,10
74262,74181,59160,1,146,290,624450,4033450,624418.00,4033420.00,130,0,6,10
