    ppt1     ppt2         dist
      37       56      2023.74
      37      116      2599.25
      37       38      2763.66
      37       57      3099.78
      38       57       406.60
      38      116      1478.45
      38       56      1638.54
      38       60      5447.89
      56       57      1734.93
      56      116      2623.16
      56       60      3950.71
      56       58      7353.91
      57      116      1837.74
      57       60      5368.96
      57       58      8996.51
      57      122      9729.20
      58      122      1767.89
      58       62      2012.60
      58       60      3930.92
      58       63      5099.69
      60      122      5184.24
      60       62      5866.00
      60      116      6572.45
      60       63      7942.29
      62      122      1122.24
      62       81      4866.65
      62       63      5042.08
      62      322      7992.81
      63       81      3842.92
      63      322      4160.86
      63      122      5958.79
      63       80      7260.96
      80       81      3674.05
      80      322      4930.53
      80      122      9083.93
      80      116     19331.22
      81      322      3736.00
      81      122      5982.39
      81      116     16040.90
     116      122     10254.45
     116      322     18475.80
     122      322      9093.39
