"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   5.37628097534E+01   5.13600006104E+01  w1_06021999 
   5.36588897705E+01   5.12599983215E+01  w1_07011999 
   5.36059608459E+01   5.12299995422E+01  w1_07271999 
   5.35679779053E+01   5.11800003052E+01  w1_08311999 
   5.35541458130E+01   5.11800003052E+01  w1_10081999 
   5.36034202576E+01   5.12200012207E+01  w1_10281999 
   5.36654548645E+01   5.12000007629E+01  w1_11301999 
   5.36364593506E+01   5.15299987793E+01  w1_01052000 
   5.38278312683E+01   5.15299987793E+01  w1_01312000 
   5.39182014465E+01   5.18100013733E+01  w1_02252000 
   5.39361801147E+01   5.14000015259E+01  w1_04032000 
   5.39130935669E+01   5.13800010681E+01  w1_04252000 
   5.37317962646E+01   5.12700004578E+01  w1_05312000 
   5.36294860840E+01   5.11800003052E+01  w1_06282000 
   5.35738868713E+01   5.11500015259E+01  w1_07312000 
   5.35440101624E+01   5.11300010681E+01  w1_08292000 
   5.35313034058E+01   5.11300010681E+01  w1_10032000 
   5.35422325134E+01   5.11500015259E+01  w1_10312000 
   5.37183799744E+01   5.11599998474E+01  w1_11302000 
   5.37940025330E+01   5.11899986267E+01  w1_12202000 
   5.38511428833E+01   5.13100013733E+01  w1_02022001 
   5.38196983337E+01   5.13800010681E+01  w1_02282001 
   5.37794609070E+01   5.13499984741E+01  w1_04052001 
   5.37159843445E+01   5.13400001526E+01  w1_05012001 
   5.36595458984E+01   5.12299995422E+01  w1_05242001 
   5.35344657898E+01   5.11500015259E+01  w1_07092001 
   5.35220870972E+01   5.10800018311E+01  w1_07232001 
   5.34904136658E+01   5.10800018311E+01  w1_08302001 
   5.34788017273E+01   5.10800018311E+01  w1_09272001 
   5.36955299377E+01   5.11300010681E+01  w1_11082001 
   5.36520690918E+01   5.12000007629E+01  w1_11302001 
   5.39223747253E+01   5.12999992371E+01  w1_12202001 
   5.39247703552E+01   5.13499984741E+01  w1_01302002 
   5.38903770447E+01   5.12900009155E+01  w1_03042002 
   5.38828239441E+01   5.13600006104E+01  w1_03262002 
   5.38999252319E+01   5.13199996948E+01  w1_04262002 
   5.37868423462E+01   5.12200012207E+01  w1_05282002 
   5.36660346985E+01   5.11599998474E+01  w1_06252002 
   5.35502128601E+01   5.10900001526E+01  w1_07292002 
   5.35138092041E+01   5.10699996948E+01  w1_08282002 
   5.34972877502E+01   5.10600013733E+01  w1_10022002 
   5.35232086182E+01   5.11800003052E+01  w1_11072002 
   5.35624046326E+01   5.11800003052E+01  w1_12022002 
   5.38914985657E+01   5.17299995422E+01  w1_12302002 
   5.38444252014E+01   5.14000015259E+01  w1_01302003 
   5.39291343689E+01   5.13600006104E+01  w1_02242003 
   5.38933753967E+01   5.13400001526E+01  w1_03262003 
   5.37610282898E+01   5.14399986267E+01  w1_04292003 
   5.36564064026E+01   5.13300018311E+01  w1_05272003 
   5.35672111511E+01   5.12200012207E+01  w1_06262003 
   5.34981346130E+01   5.13400001526E+01  w1_07292003 
   5.34699440002E+01   5.11100006104E+01  w1_08282003 
   5.34649925232E+01   5.11399993896E+01  w1_09262003 
   5.35766448975E+01   5.11300010681E+01  w1_10252003 
   5.36365661621E+01   5.11300010681E+01  w1_11262003 
   5.36879959106E+01   5.11899986267E+01  w1_12222003 
   5.39351539612E+01   5.13100013733E+01  w1_01262004 
   5.40474891663E+01   5.15200004578E+01  w1_02232004 
   5.40263977051E+01   5.13300018311E+01  w1_04012004 
   5.39728736877E+01   5.11800003052E+01  w1_04302004 
   5.38505363464E+01   5.12200012207E+01  w1_05272004 
   5.36873016357E+01   5.11399993896E+01  w1_06292004 
   5.35651664734E+01   5.11100006104E+01  w1_08042004 
   5.35251998901E+01   5.08300018311E+01  w1_08302004 
   5.35101432800E+01   5.08699989319E+01  w1_09292004 
   5.35114936829E+01   5.08499984741E+01  w1_10272004 
   5.35266532898E+01   5.09700012207E+01  w1_12012004 
   5.37791061401E+01   5.11800003052E+01  w1_12282004 
   5.38484268188E+01   5.15099983215E+01  w1_02092005 
   5.38103523254E+01   5.23800010681E+01  w1_02272005 
   5.40017089844E+01   5.18699989319E+01  w1_03302005 
   5.40297508240E+01   5.14900016785E+01  w1_05022005 
   5.38822097778E+01   5.13699989319E+01  w1_05262005 
   5.36853561401E+01   5.09599990845E+01  w1_06302005 
   5.35572776794E+01   5.11899986267E+01  w1_07282005 
   5.35276527405E+01   5.09099998474E+01  w1_08312005 
   5.35093154907E+01   5.11199989319E+01  w1_09282005 
   5.35080757141E+01   5.11399993896E+01  w1_10282005 
   5.35632858276E+01   5.11599998474E+01  w1_12062005 
   5.36701469421E+01   5.16899986267E+01  w1_01062006 
   5.36523361206E+01   5.14199981689E+01  w1_02012006 
   5.37059135437E+01   5.18800010681E+01  w1_03022006 
   5.36823577881E+01   5.18199996948E+01  w1_03292006 
   5.36566963196E+01   5.17299995422E+01  w1_04262006 
   5.35738754272E+01   5.14900016785E+01  w1_05252006 
   5.34728164673E+01   5.13699989319E+01  w1_07062006 
   5.34413604736E+01   5.11899986267E+01  w1_08102006 
   5.34128723145E+01   5.14599990845E+01  w1_09012006 
   5.34432907104E+01   5.11500015259E+01  w1_10042006 
   5.34697952271E+01   5.11500015259E+01  w1_11012006 
   5.34836502075E+01   5.11300010681E+01  w1_11292006 
   5.35477714539E+01   5.12000007629E+01  w1_12222006 
   5.38984184265E+01   5.11399993896E+01  w1_02052007 
   5.39160957336E+01   5.15699996948E+01  w1_02272007 
   5.38313064575E+01   5.13100013733E+01  w1_03272007 
   5.37257690430E+01   5.12200012207E+01  w1_05012007 
   5.36049575806E+01   5.11500015259E+01  w1_05312007 
   5.35101280212E+01   5.11300010681E+01  w1_06272007 
   5.34540901184E+01   5.10800018311E+01  w1_08022007 
   5.34220657349E+01   5.10800018311E+01  w1_08312007 
   5.34178695679E+01   5.07999992371E+01  w1_10022007 
   5.34284629822E+01   5.10900001526E+01  w1_11022007 
   5.34996719360E+01   5.10800018311E+01  w1_11292007 
   5.35549545288E+01   5.10999984741E+01  w1_12202007 
   5.35989494324E+01   5.15400009155E+01  w1_01102008 
   5.35749778748E+01   5.18400001526E+01  w1_02012008 
   5.38023986816E+01   5.17400016785E+01  w1_02292008 
   5.38558464050E+01   5.14399986267E+01  w1_03212008 
   5.37383689880E+01   5.13100013733E+01  w1_04282008 
   5.36062507629E+01   5.12000007629E+01  w1_05302008 
   5.34965515137E+01   5.11500015259E+01  w1_07022008 
   5.34530334473E+01   5.10699996948E+01  w1_07302008 
   5.34014930725E+01   5.10699996948E+01  w1_09042008 
   5.34011650085E+01   5.10900001526E+01  w1_10022008 
   5.35428810120E+01   5.10900001526E+01  w1_10292008 
   5.35176200867E+01   5.11500015259E+01  w1_12032008 
   5.36004219055E+01   5.12200012207E+01  w1_01082009 
   5.37896957397E+01   5.13199996948E+01  w1_01302009 
   5.38520927429E+01   5.18499984741E+01  w1_02252009 
   5.39138145447E+01   5.15000000000E+01  w1_03302009 
   5.38923988342E+01   5.13699989319E+01  w1_05012009 
   5.37650718689E+01   5.12799987793E+01  w1_06012009 
   5.36494903564E+01   5.12200012207E+01  w1_06242009 
   5.35226783752E+01   5.11500015259E+01  w1_08052009 
   5.34722938538E+01   5.11100006104E+01  w1_09012009 
   5.34403305054E+01   5.11199989319E+01  w1_09302009 
   5.34373741150E+01   5.16199989319E+01  w1_10162009 
   5.34542427063E+01   5.12999992371E+01  w1_11042009 
   5.35707206726E+01   5.12400016785E+01  w1_12032009 
   5.37640724182E+01   5.13499984741E+01  w1_01052010 
   5.37234344482E+01   5.19000015259E+01  w1_01292010 
   5.39211730957E+01   5.21899986267E+01  w1_03042010 
   5.40010681152E+01   5.15900001526E+01  w1_03302010 
   5.38686637878E+01   5.16899986267E+01  w1_04292010 
   5.37317504883E+01   5.14599990845E+01  w1_06042010 
   5.36449317932E+01   5.13300018311E+01  w1_06302010 
   5.35363502502E+01   5.12400016785E+01  w1_07302010 
   5.34844169617E+01   5.11800003052E+01  w1_08312010 
   5.34477348328E+01   5.12000007629E+01  w1_10012010 
   5.34913024902E+01   5.11899986267E+01  w1_10282010 
   5.35535507202E+01   5.12400016785E+01  w1_12012010 
   5.35235862732E+01   5.18600006104E+01  w1_01052011 
   5.36173706055E+01   5.14500007629E+01  w1_01272011 
   5.36068763733E+01   5.19700012207E+01  w1_02282011 
   5.37532234192E+01   5.20600013733E+01  w1_04012011 
   5.37041625977E+01   5.14900016785E+01  w1_05022011 
   5.35781707764E+01   5.13800010681E+01  w1_06032011 
   5.35058135986E+01   5.13300018311E+01  w1_06282011 
   5.34370689392E+01   5.12200012207E+01  w1_08012011 
   5.34038200378E+01   5.11599998474E+01  w1_08292011 
   5.33919868469E+01   5.11599998474E+01  w1_10032011 
   5.34141273499E+01   5.11800003052E+01  w1_11022011 
   5.34646987915E+01   5.09500007629E+01  w1_11302011 
   5.37217712402E+01   5.09500007629E+01  w1_01062012 
   5.37507362366E+01   5.10800018311E+01  w1_01302012 
   5.37003898621E+01   5.10000000000E+01  w1_03052012 
   5.36324119568E+01   5.12400016785E+01  w1_04022012 
   5.35630073547E+01   5.10800018311E+01  w1_04302012 
   5.34710083008E+01   5.09300003052E+01  w1_06012012 
   5.33932571411E+01   5.08699989319E+01  w1_06292012 
   5.33541679382E+01   5.08300018311E+01  w1_08012012 
   5.33399162292E+01   5.08199996948E+01  w1_08272012 
   5.33377456665E+01   5.08100013733E+01  w1_09222012 
   5.33751220703E+01   5.07200012207E+01  w1_10292012 
   5.34277877808E+01   5.12999992371E+01  w1_12062012 
   5.34316177368E+01   5.13600006104E+01  w1_01022013 
   5.34173812866E+01   5.11399993896E+01  w1_01302013 
   5.35042686462E+01   5.08800010681E+01  w1_02272013 
   5.23499183655E+01   5.10000000000E+01  w1_04032013 
   5.30264244080E+01   5.09300003052E+01  w1_04252013 
   5.32081756592E+01   5.08100013733E+01  w1_05312013 
   5.32154159546E+01   5.08300018311E+01  w1_06212013 
   5.31976509094E+01   5.07999992371E+01  w1_08012013 
   5.32162895203E+01   5.07900009155E+01  w1_09062013 
   1.80628051758E+02   5.07900009155E+01  w1_10082013 
   2.34714324951E+02   5.07999992371E+01  w1_11042013 
   4.00592681885E+02   5.08199996948E+01  w1_12022013 
   1.33393463135E+02   5.08400001526E+01  w1_01082014 
   8.32981262207E+01   5.08400001526E+01  w1_02032014 
   7.52050094604E+01   5.09700012207E+01  w1_03032014 
   6.91542434692E+01   5.09500007629E+01  w1_04302014 
   6.73408126831E+01   5.08400001526E+01  w1_06052014 
   6.61170730591E+01   5.07400016785E+01  w1_07032014 
   6.52038574219E+01   5.07900009155E+01  w1_07302014 
   6.43609924316E+01   5.07799987793E+01  w1_08272014 
   0.00000000000E+00   5.07799987793E+01  w1_10022014 
   0.00000000000E+00   5.07999992371E+01  w1_11072014 
   0.00000000000E+00   5.08100013733E+01  w1_12012014 
   0.00000000000E+00   5.18899993896E+01  w1_01152015 
   0.00000000000E+00   5.10299987793E+01  w1_03032015 
   0.00000000000E+00   5.09900016785E+01  w1_03232015 
   0.00000000000E+00   5.08899993896E+01  w1_04302015 
   0.00000000000E+00   5.09199981689E+01  w1_05202015 
   0.00000000000E+00   5.07999992371E+01  w1_06242015 
   0.00000000000E+00   5.08800010681E+01  w1_08032015 
   0.00000000000E+00   5.08100013733E+01  w1_10082015 
   0.00000000000E+00   5.08400001526E+01  w1_10232015 
   0.00000000000E+00   5.09000015259E+01  w1_12112015 
   0.00000000000E+00   5.10900001526E+01  w1_12232015 
   0.00000000000E+00   5.15099983215E+01  w1_01262016 
   0.00000000000E+00   5.12400016785E+01  w1_03042016 
   0.00000000000E+00   5.12599983215E+01  w1_04062016 
   8.85993804932E+01   1.04029998779E+02  W2_10231990 
   8.84004669189E+01   1.03839996338E+02  W2_11161990 
   8.80280532837E+01   1.03760002136E+02  W2_12191990 
   8.78598785400E+01   1.03680000305E+02  W2_01041991 
