"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   1.36644226074E+02   1.25885002136E+02  204         
   1.30930587769E+02   1.23282997131E+02  205         
   1.13971435547E+02   8.45729980469E+01  206         
   2.53631011963E+02   2.42880004883E+02  207         
   7.68598699570E+00   9.26918983459E+00  208         
   8.27429485321E+00   6.22669982910E+00  209         
   1.28752304077E+02   1.15962997437E+02  210         
   1.48520217896E+02   1.42973999023E+02  211         
   1.49226272583E+02   9.48040008545E+01  212         
   5.27504028320E+02   5.85885986328E+02  215         
   1.49168579102E+02   1.18379997253E+02  216         
   1.51298049927E+02   1.28533996582E+02  217         
   5.02726974487E+01   4.65553016663E+01  218         
   4.69303283691E+01   1.86872997284E+01  219         
   5.98028755188E+01  -1.23810994625E+00  220         
   4.62976303101E+01   3.74258003235E+01  221         
   2.67244995117E+02   2.21994995117E+02  222         
   2.38146224976E+02   2.80342987061E+02  226         
   2.40973526001E+02   2.04089004517E+02  227         
   2.00078552246E+02   1.29923004150E+02  235         
   3.11916198730E+01   2.50687999725E+01  236         
   6.05445594788E+01   4.88777999878E+01  239         
   2.41623191833E+01   1.62833995819E+01  242         
   2.41508636475E+01   1.59910001755E+01  243         
   5.23184547424E+01   3.51208992004E+01  245         
   5.30142364502E+01   3.19134998322E+01  248         
   5.36972312927E+01   5.33797988892E+01  249         
   2.37216400146E+02   1.61018997192E+02  250         
   2.39916000366E+02   1.77621994019E+02  251         
   2.58056427002E+02   1.92151000977E+02  252         
   2.44960418701E+02   2.31311004639E+02  253         
   1.91001892090E+02   2.09408996582E+02  254         
   6.54029235840E+01   3.85947990417E+01  255         
   5.12332611084E+01   2.82644996643E+01  256         
   5.46067161560E+01   3.63041000366E+01  257         
   2.54213455200E+02   2.45358993530E+02  259         
   2.54122543335E+02   2.47389999390E+02  260         
   2.84816406250E+02   2.93664001465E+02  267         
   1.06852325439E+02   7.80510025024E+01  268         
   1.18450141907E+02   5.66889991760E+01  271         
   4.07218627930E+02   4.21726989746E+02  272         
   2.57594852448E+01   1.94934997559E+01  274         
   2.40666946411E+02   1.87292007446E+02  278         
   4.83106384277E+01   3.56327018738E+01  279         
   5.90232620239E+01   6.79244995117E+01  280         
   1.33061056137E+01  -3.22280001640E+00  281         
   1.68098037720E+02   1.34315994263E+02  282         
   6.06370773315E+01   2.05529003143E+01  283         
   4.57907600403E+01   6.85360031128E+01  284         
   6.36749610901E+01   1.48671005249E+02  285         
   8.11433715820E+01   1.04724998474E+02  286         
   7.80834274292E+01   3.25239982605E+01  287         
   2.55768260956E+01   1.78684997559E+01  288         
   3.60266418457E+01   2.94440007210E+00  289         
   1.17026107788E+02   9.86029968262E+01  290         
   1.16151275635E+02   9.73254013062E+01  291         
   9.09245986938E+01   5.69119987488E+01  292         
   8.90435028076E+01   3.88734016418E+01  294         
   3.66264228821E+01   3.96651000977E+01  295         
   3.86849861145E+01  -1.26579999924E+00  296         
   5.99298553467E+01   7.00823974609E+01  297         
   6.19622802734E+01   6.52012023926E+01  298         
   4.10399627686E+01   3.57467994690E+01  299         
   4.66882972717E+01   3.77948989868E+01  300         
   5.02690048218E+01   4.05956001282E+01  301         
   5.00932655334E+01   4.10144996643E+01  302         
   4.23786849976E+01   4.02997016907E+01  303         
   4.78267707825E+01   4.07244987488E+01  304         
   5.60695800781E+01   5.88674011230E+01  306         
   1.47586364746E+02   9.03430023193E+01  307         
