POINT_X,POINT_Y,Observed,Simulated,abslute value of Obs-Sim,WELL_ID
621605,4033830,2.81E+02,2.73E+02,7.51E+00,ObsWel_447
621720,4033600,2.67E+02,2.74E+02,7.01E+00,ObsWel_448
621730,4033660,2.69E+02,2.74E+02,4.53E+00,ObsWel_449
621881,4033160,3.03E+02,2.97E+02,5.22E+00,ObsWel_450
622573,4031730,4.41E+02,4.36E+02,4.89E+00,ObsWel_451
623933,4031730,3.28E+02,3.32E+02,3.90E+00,ObsWel_452
624225,4031590,3.34E+02,3.37E+02,3.16E+00,ObsWel_453
624532,4031360,3.34E+02,3.39E+02,4.72E+00,ObsWel_454
624786,4031220,3.37E+02,3.43E+02,5.51E+00,ObsWel_455
621440,4032290,4.30E+02,4.19E+02,1.10E+01,ObsWel_456
621854,4031940,4.44E+02,4.52E+02,7.98E+00,ObsWel_457
621936,4031890,4.80E+02,4.52E+02,2.78E+01,ObsWel_458
626152,4034950,8.56E+02,8.49E+02,6.89E+00,ObsWel_459
626521,4033920,5.66E+02,5.68E+02,1.81E+00,ObsWel_460
625316,4033150,3.88E+02,3.85E+02,2.74E+00,ObsWel_461
625496,4033270,3.89E+02,3.88E+02,1.04E+00,ObsWel_462
