FID,NAME,PERMIT,LOG_NO,DRLDATE,DEPTH,HYPERLINK,POINT_X,POINT_Y,ZoneId,ZoneIDtxt,ROFF,COFF,Layer
39,Manor 2, , , , , ,605130.915842000050000,4042853.922340000000000,102029.0000000,102029,-0.0392234,0.190841580000000,2.000000000000000
40,WILLIAMS_SOUTH, , , ,0, ,603237.000033000020000,4043053.000010000100000,102093.0000000,102093,-0.0300001,0.129999670000000,2.000000000000000
41,CENTER STREET, ,137407,5/29/81,56.1, ,606416.999989000030000,4042561.000020000200000,102080.0000000,102080,-0.1100000,0.330000110000000,2.000000000000000
42,REIMERS#1,W4964,99207,10/20/75,122, ,604973.000034000030000,4042749.000020000200000,102086.0000000,102086,0.0099998,-0.230000340000000,2.000000000000000
43,Reimers #2, ,114655,1965, , ,604955.063813999990000,4042886.277989999900000,100986.0000000,100986,-0.3627800,-0.050638139999900,2.000000000000000
44,Pearce,W3066,232108,11/24/81,160,X:\Data\Documents\Well_reports\00189332.TIF,603470.562812000050000,4043040.778479999900000,101300.0000000,101300,0.0922152,-0.205628120000000,2.000000000000000
45,Schulte96,WSAL 95-315,544568,1/10/1996, , ,604392.702942000000000,4043079.447519999900000,101299.0000000,101299,-0.2944750,-0.427029420000000,2.000000000000000
46,Cypress 2008,08-11293, , , , ,603011.632040999950000,4043105.447900000000000,101302.0000000,101302,0.4455210,0.383679590001000,2.000000000000000
47,CV_HIGH#1,W4968,290004,11/16/88,180, ,604895.000007999940000,4043101.000030000200000,102087.0000000,102087,0.4900000,-0.450000079999000,2.000000000000000
48,DeMariaJames, ,111022, 2/21/73, , ,605405.922443000020000,4043117.484840000000000,102051.0000000,102051,0.3251520,0.440775570000000,2.000000000000000
49,STPARKS_NRCAWD-DEEP, , ,3/10/1989,130, ,596920.087754999990000,4044222.556040000200000,102111.0000000,102111,0.2744400,0.299122450000000,2.000000000000000
50,Canada (2008),08-11295, , , , ,600057.017922000030000,4044285.244280000200000,101305.0000000,101305,-0.3524430,-0.070179220000300,2.000000000000000
51,rancho canada #1 12E, ,13334,4/29/69, , ,600022.040947000030000,4044215.757999999900000,102272.0000000,102272,0.3424200,0.279590530000000,2.000000000000000
52,RUBIN, , , ,0, ,600702.000041999970000,4044267.999960000200000,102100.0000000,102100,-0.1800000,0.479999580000000,2.000000000000000
53,Cal-Am San Carlos 1999,WSAL 98-264,706298,1/18/99,85,X:\Data\Documents\Well_reports\00189115.TIF,600957.708595999980000,4044286.991299999900000,101303.0000000,101303,-0.3699130,-0.077085959999800,2.000000000000000
54,Cal-Am San Carlos 1982,W3063,232109,1/15/1982, ,X:\Data\Documents\Well_reports\00189225.TIF,600928.232258999950000,4044250.261520000200000,102197.0000000,102197,-0.0026152,0.217677410000000,2.000000000000000
55,Well-E, , , ,0, ,601370.444297999960000,4044221.525779999800000,102096.0000000,102096,0.2847420,-0.204442980000000,2.000000000000000
56,Rancho Canada West, , ,9/15/1993,100, ,598795.140485999990000,4044412.820760000000000,102106.0000000,102106,0.3717920,-0.451404860000000,2.000000000000000
57,WILLIAMS NORTH, , , ,0, ,603113.592026000030000,4043638.300340000100000,102094.0000000,102094,0.1169970,0.364079740000000,2.000000000000000
58,VALLEYGREENS, ,137401,5/22/81,49.8, ,601101.627383999990000,4043789.180869999800000,102097.0000000,102097,-0.3918090,0.483726160000000,2.000000000000000
59,STPARKS-BEACH-E-D, , ,3/2/1989,85, ,595976.133662999960000,4044215.500020000200000,102119.0000000,102119,0.3450000,-0.261336630000000,2.000000000000000
60,CAWD-Rio North, ,723403,12/13/99,159, ,598174.892417000020000,4044225.191230000000000,102108.0000000,102108,0.2480880,-0.248924170000000,2.000000000000000
61,CAWD_dewater, , , ,0, ,596776.000047000010000,4044394.999969999800000,102110.0000000,102110,-0.4500000,-0.260000470000000,2.000000000000000
62,VIA MALLORCA, , , ,0, ,600218.632820999950000,4044393.288650000000000,102103.0000000,102103,-0.4328870,0.313671790001000,2.000000000000000
63,MPRP Eucalyptus, , , , , ,609664.141335999940000,4041357.379600000100000,102871.0000000,102871,0.0000000,0.000000000000000,2.000000000000000
64,Morse, , , , , ,610839.623846999950000,4040576.235880000100000,100295.0000000,100295,0.0000000,0.000000000000000,2.000000000000000
65,CV Dairy, , , , , ,601791.780929000000000,4043667.783309999900000,102451.0000000,102451,0.0000000,0.000000000000000,2.000000000000000
66,MFC19172, , , , , ,604449.999998999990000,4043250.000109999900000,0.0000000,MFC19172,0.0000000,0.000000000000000,2.000000000000000
67,MFC14253, , , , , ,599749.999998999990000,4044450.000109999900000,0.0000000,MFC14253,0.0000000,0.000000000000000,2.000000000000000
68,Lake, , , , , ,602370.214520000040000,4043608.821130000100000,0.0000000,102450,0.0000000,0.000000000000000,2.000000000000000
69,MFC15060, , , , , ,599249.999998999990000,4044250.000109999900000,0.0000000,MFC15060,0.0000000,0.000000000000000,2.000000000000000
70,MFC14237, , , , , ,598149.999998999990000,4044450.000109999900000,0.0000000,MFC14237,0.0000000,0.000000000000000,2.000000000000000
71,MFC15444, , , , , ,597049.999998999990000,4044150.000109999900000,0.0000000,MFC15444,0.0000000,0.000000000000000,2.000000000000000
72,MFC15480, , , , , ,601249.999998999990000,4044150.000109999900000,0.0000000,MFC15480,0.0000000,0.000000000000000,2.000000000000000
73,Odello East Inavtive, , , , , ,597538.862793999960000,4043767.258309999900000,102427.0000000,102427,0.0000000,0.000000000000000,2.000000000000000
74,MFC19165, , , , , ,603749.999998999990000,4043250.000109999900000,0.0000000,MFC19165,0.0000000,0.000000000000000,2.000000000000000
75,MFC18354, , , , , ,603849.999998999990000,4043450.000109999900000,0.0000000,MFC18354,0.0000000,0.000000000000000,2.000000000000000
76,MFC19989, , , , , ,604949.999998999990000,4043050.000109999900000,0.0000000,MFC19989,0.0000000,0.000000000000000,2.000000000000000
77,MFC19580, , , , , ,604649.999998999990000,4043150.000109999900000,0.0000000,MFC19580,0.0000000,0.000000000000000,2.000000000000000
78,MFC21206, , , , , ,604849.999998999990000,4042750.000109999900000,0.0000000,MFC21206,0.0000000,0.000000000000000,2.000000000000000
79,Dick Mon, , , , , ,605691.608157000040000,4042918.729979999800000,102484.0000000,102484,0.0000000,0.000000000000000,2.000000000000000
80,Farm Center, , , , , ,606852.262940000040000,4042420.213159999800000,102516.0000000,102516,0.0000000,0.000000000000000,2.000000000000000
81,CVR Riley, , , , , ,607752.000019000030000,4042252.000080000100000,101112.0000000,101112,0.0000000,0.000000000000000,2.000000000000000
82,Garland Park Cooper, , , , , ,610098.389621000040000,4040836.702870000200000,100311.0000000,100311,0.0000000,0.000000000000000,2.000000000000000
