FID,NAME,PERMIT,LOG_NO,DRLDATE,DEPTH,HYPERLINK,POINT_X,POINT_Y,ZoneId,ZoneIDtxt,ROFF,COFF,Layer
0,Sweeney, ,723415,3/23/00, , ,611610.559030000000000,4040712.684179999900000,100544.0000000,100544,0.3731580,0.394409700000000,3.000000000000000
1,WombleABD, ,75006,8/31/71, , ,608151.172234000060000,4042134.580130000100000,102079.0000000,102079,0.1541990,-0.011722340000600,2.000000000000000
2,Druid Hills # 1, , , , , ,599812.981827000040000,4044736.595710000000000,100861.0000000,100861,0.1340430,0.370181730000000,3.000000000000000
3,State Parks Highway, ,101196,7/1/67, , ,597169.579993000020000,4043783.781340000200000,101096.0000000,101096,-0.3378130,-0.195799930000000,2.000000000000000
4,Coast Ranch, ,544575,4/23/1996, , ,597516.147526000040000,4043793.457330000100000,101095.0000000,101095,-0.4345730,0.338524740000000,2.000000000000000
5,Odello Sanitary, , , , , ,596996.313272999950000,4044190.000659999900000,102112.0000000,102112,-0.4000070,-0.463132729999000,2.000000000000000
6,Lagoon piezometer 1, , , , , ,596270.433559000030000,4044473.916819999900000,102113.0000000,102113,-0.2391680,-0.204335590000000,2.000000000000000
7,CalAmRussel2, , , , , ,615340.077762000030000,4035640.857280000100000,102436.0000000,102436,0.0914272,0.099222379999700,2.000000000000000
8,CalAmRussel4, , , , , ,615312.983204000050000,4035740.133520000100000,102437.0000000,102437,0.0986648,0.370167960000000,2.000000000000000
9,DE_LOS_HELECHOS, ,137402,5/15/87,28.3, ,613630.128717000010000,4037218.051800000000000,102179.0000000,102179,0.3194820,0.198712830000000,2.000000000000000
10,Robles1, , , , , ,613922.799146999950000,4037267.527809999900000,102434.0000000,102434,-0.1752780,0.272008530000000,2.000000000000000
11,Robles2, , , , , ,613917.029681000040000,4037266.901269999800000,102435.0000000,102435,-0.1690130,0.329703190000000,2.000000000000000
12,LITTLE_LEAGUE, , , ,50, ,612901.475913999950000,4037833.108430000000000,102177.0000000,102177,0.1689160,0.485240860000000,2.000000000000000
13,Panetta No. 1, , , , , ,612373.688516999940000,4038691.668080000200000,101317.0000000,101317,-0.4166810,-0.236885169999000,3.000000000000000
14,Panetta No. 2, , , , , ,612381.522160000050000,4038731.331470000100000,101318.0000000,101318,0.1866850,-0.315221600001000,3.000000000000000
15,Water West Garzas No. 3, ,87327,7/23/64, , ,611825.929419000050000,4039177.730779999900000,101319.0000000,101319,-0.2773080,0.240705809999000,2.000000000000000
16,Boronda Rd.,HZ-2214,e059277,8/3/07,32, ,612022.236003999950000,4039253.211149999900000,102170.0000000,102170,-0.0321115,0.277639960001000,2.000000000000000
17,Water West Garzas #4, ,99237,10/5/77, , ,611490.638990000010000,4039702.919379999900000,101320.0000000,101320,0.4708060,-0.406389900000000,2.000000000000000
18,Laureles 6, ,20254,6/8/77, , ,610630.298983999990000,4040950.945100000100000,101290.0000000,101290,-0.0094510,0.197010160000000,2.000000000000000
19,Laureles 5, , , , , ,610435.170843000060000,4041105.044850000200000,101291.0000000,101291,0.4495510,0.148291569999000,2.000000000000000
20,Rancho Fiesta 1, ,083931,3/15/80, , ,610645.152585000030000,4041602.100750000200000,102443.0000000,102443,0.4789920,0.048474149999700,3.000000000000000
21,CVR05, , , ,0, ,607118.140337000020000,4042009.648250000100000,102084.0000000,102084,0.4035180,0.318596630000000,2.000000000000000
22,Berwick #2, ,38094,6/7/61, , ,606549.034359000040000,4042278.434210000100000,102394.0000000,102394,-0.2843420,0.009656409999590,2.000000000000000
23,HERNSTADT, , , ,0, ,610329.901895000020000,4041233.498089999900000,100328.0000000,100328,0.1650190,0.200981050000000,2.000000000000000
24,Rancho Fiesta 2, ,88743,2/21/73, , ,610569.920996999950000,4041646.682490000000000,102444.0000000,102444,0.0331751,-0.199209970000000,3.000000000000000
25,CVR08, , , ,0, ,606999.605804000050000,4042195.516309999900000,102083.0000000,102083,-0.4551630,-0.496058040000000,2.000000000000000
26,CVR01, , , ,0, ,607890.910095000060000,4042175.873860000200000,102078.0000000,102078,-0.2587390,-0.409100950001000,2.000000000000000
27,Berwick 9 (2008),08-11296, , , , ,606316.017477000020000,4042251.611699999800000,102393.0000000,102393,-0.0161170,0.339825230000000,2.000000000000000
28,Berwick 8, ,164876,2/25/87, , ,606495.059060000000000,4042280.447590000000000,102397.0000000,102397,-0.3044760,-0.450590600000000,2.000000000000000
29,Berwick #7, , , , , ,606439.085171999990000,4042273.855479999900000,102396.0000000,102396,-0.2385550,0.109148280000000,2.000000000000000
30,Scarlett 8, ,192673,10/31/88, , ,607845.386722999970000,4042378.580459999900000,101293.0000000,101293,-0.2858050,0.046132770000300,2.000000000000000
31,Scarlett 7, ,20255,6/8/77, , ,607829.394700999950000,4042319.806440000000000,102439.0000000,102439,0.3019360,0.206052990000000,2.000000000000000
32,Scarlett 3, , , , , ,607859.604982999970000,4042339.555240000100000,100346.0000000,100346,0.1044480,-0.096049829999700,2.000000000000000
33,Scarlett 6, , , , , ,607849.885582000020000,4042384.499840000200000,100959.0000000,100959,-0.3449980,0.001144179999830,2.000000000000000
34,Scarlett 4, , , , , ,607812.501193000000000,4042360.423990000000000,102500.0000000,102500,-0.1042400,0.374988070000000,2.000000000000000
35,Scarlett 2 - COYOTE U.S., ,75004,7/30/71,0, ,607919.388267999980000,4042328.600180000100000,102077.0000000,102077,0.2139980,0.306117320000000,2.000000000000000
36,Scarlett 1, , , , , ,607912.969460000050000,4042379.802209999900000,102438.0000000,102438,-0.2980220,0.370305399999000,2.000000000000000
37,Begonia #2,W6024,344995,9/9/90,120,X:\Data\Documents\Well_reports\00189442.TIF,606036.579572999970000,4042534.544150000000000,102028.0000000,102028,0.1545580,0.134204270000000,2.000000000000000
38,Vetter Shop, ,517425,6/12/00, , ,602822.760585000040000,4042821.527139999900000,100546.0000000,100546,0.2847290,0.272394150000000,3.000000000000000
