Gage No., Filename, Time, Stage(ft), Flow(cfs), Depth(ft), Width(ft), Midpt-Flow(cfs), Precip(ft/dy), ET(ft/dy), SFR-Runoff(cfs), UZF-Runoff(cfs), Conductance(ft/dy), HeadDiff(ft), HydGrad(ft)
2, H1.gg1, 02-Oct-1991,52.00816,0.000059,0.000282,0.028237,0.00003,0,0,0.000129,0,5.624032,0.328368,3.283676
2, H1.gg1, 03-Oct-1991,52.00816,0.000058,0.000282,0.028173,0.000029,0,0,0.000128,0,5.611138,0.328367,3.28367
2, H1.gg1, 04-Oct-1991,52.00816,0.000057,0.000281,0.028108,0.000028,0,0,0.000126,0,5.598355,0.328366,3.283664
2, H1.gg1, 05-Oct-1991,52.00816,0.000055,0.00028,0.028036,0.000028,0,0,0.000125,0,5.584015,0.328366,3.283656
2, H1.gg1, 06-Oct-1991,52.01207,0.000011,0.004193,0.419338,0.000006,0,0,0.001065,0,83.519295,0.332279,3.322786
2, H1.gg1, 07-Oct-1991,52.203964,0.142938,0.196087,25.146555,0.189666,0,0,0.006224,0,5008.429688,0.524172,5.241724
2, H1.gg1, 08-Oct-1991,52.304417,1.302518,0.296541,40.281582,1.390792,0,0,0.013729,0,8022.867188,0.624626,6.246262
2, H1.gg1, 09-Oct-1991,52.211365,0.162817,0.203489,26.230627,0.213692,0,0,0.003695,0,5224.344238,0.531574,5.315741
2, H1.gg1, 10-Oct-1991,52.468842,10.168997,0.460965,66.580177,10.364802,0,0,0.005677,0,13260.74805,0.78905,7.890504
2, H1.gg1, 11-Oct-1991,52.445496,8.18479,0.437621,62.753086,8.364818,0,0,0.003321,0,12498.50781,0.765706,7.657065
2, H1.gg1, 12-Oct-1991,52.443855,8.101744,0.435976,62.484406,8.280832,0,0,0.002865,0,12444.99609,0.764061,7.640612
2, H1.gg1, 13-Oct-1991,52.451809,8.710958,0.443934,63.785313,8.895908,0,0,0.002495,0,12704.09668,0.772019,7.720194
2, H1.gg1, 14-Oct-1991,52.342892,2.16196,0.335015,46.286869,2.276922,0,0,0.002186,0,9218.938477,0.663101,6.631007
2, H1.gg1, 15-Oct-1991,52.085632,0,0,8.767131,0.006527,0,0,0.001934,0,1746.14624,0.405839,4.058389
2, H1.gg1, 16-Oct-1991,52.014477,0.000053,0.006599,0.659865,0.000027,0,0,0.001723,0,131.42511,0.334684,3.346839
2, H1.gg1, 17-Oct-1991,52.013851,0.000042,0.005976,0.597596,0.000021,0,0,0.001552,0,119.022949,0.334061,3.340612
2, H1.gg1, 18-Oct-1991,52.013264,0.000048,0.005384,0.538359,0.000024,0,0,0.001405,0,107.224739,0.333469,3.334688
