Gage   Filename  Threshold(cfs)  Start          End   Over/Under   Num_Days  AveFlow(cfs)
    17  ALP.gg18   1.00  02-Oct-1991     01-Oct-2015   O      8766        63.01
     1  BL.gg16   1.00  03-Oct-1991     05-Dec-1999   O      2986        61.42
     1  BL.gg16   1.00  06-Dec-1999     15-Jan-2000   U        41         0.10
     1  BL.gg16   1.00  16-Jan-2000     08-Nov-2002   O      1028        35.42
     1  BL.gg16   1.00  10-Nov-2002     26-Nov-2003   O       382        53.94
     1  BL.gg16   1.00  27-Nov-2003     01-Dec-2003   U         5         0.77
     1  BL.gg16   1.00  02-Dec-2003     28-Oct-2005   O       697        66.57
     1  BL.gg16   1.00  29-Oct-2005     05-Nov-2005   U         8         0.14
     1  BL.gg16   1.00  07-Nov-2005     09-Nov-2005   U         3         0.08
     1  BL.gg16   1.00  10-Nov-2005     16-Nov-2005   O         7         3.04
     1  BL.gg16   1.00  17-Nov-2005     29-Nov-2005   U        13         0.39
     1  BL.gg16   1.00  30-Nov-2005     17-Oct-2010   O      1783        50.02
     1  BL.gg16   1.00  19-Oct-2010     23-Oct-2010   O         5         1.71
     1  BL.gg16   1.00  24-Oct-2010     25-Oct-2010   U         2         0.88
     1  BL.gg16   1.00  26-Oct-2010     21-Jan-2012   O       453        51.78
     1  BL.gg16   1.00  23-Jan-2012     01-Oct-2015   O      1348         4.27
    16  CA.gg15   1.00  02-Oct-1991     06-Oct-1991   U         5         0.14
    16  CA.gg15   1.00  07-Oct-1991     28-Apr-1992   O       205         7.78
    16  CA.gg15   1.00  29-Apr-1992     30-Oct-1992   U       185         0.31
    16  CA.gg15   1.00  31-Oct-1992     18-Nov-1992   O        19         1.56
    16  CA.gg15   1.00  20-Nov-1992     25-Nov-1992   O         6         1.02
    16  CA.gg15   1.00  26-Nov-1992     03-Dec-1992   U         8         0.91
    16  CA.gg15   1.00  04-Dec-1992     23-Jun-1993   O       202        12.25
    16  CA.gg15   1.00  24-Jun-1993     11-Nov-1993   U       141         0.36
    16  CA.gg15   1.00  12-Nov-1993     09-Jun-1994   O       210         5.06
    16  CA.gg15   1.00  10-Jun-1994     05-Oct-1994   U       118         0.40
    16  CA.gg15   1.00  06-Oct-1994     30-Oct-1994   O        25         2.32
    16  CA.gg15   1.00  31-Oct-1994     07-Nov-1994   U         8         0.89
    16  CA.gg15   1.00  08-Nov-1994     12-Jul-1995   O       247        11.31
    16  CA.gg15   1.00  13-Jul-1995     19-Jul-1995   U         7         0.79
    16  CA.gg15   1.00  20-Jul-1995     27-Jul-1995   O         8         1.34
    16  CA.gg15   1.00  28-Jul-1995     12-Dec-1995   U       138         0.44
    16  CA.gg15   1.00  13-Dec-1995     08-May-1996   O       148        10.62
    16  CA.gg15   1.00  09-May-1996     16-May-1996   U         8         0.77
    16  CA.gg15   1.00  17-May-1996     17-Jun-1996   O        32         3.83
    16  CA.gg15   1.00  18-Jun-1996     26-Oct-1996   U       131         0.29
    16  CA.gg15   1.00  27-Oct-1996     28-Mar-1997   O       153        11.43
    16  CA.gg15   1.00  29-Mar-1997     11-Oct-1997   U       197         0.35
    16  CA.gg15   1.00  12-Oct-1997     13-Oct-1997   O         2         1.38
    16  CA.gg15   1.00  14-Oct-1997     11-Nov-1997   U        29         0.66
    16  CA.gg15   1.00  12-Nov-1997     14-Jul-1998   O       245        20.20
    16  CA.gg15   1.00  15-Jul-1998     25-Oct-1998   U       103         0.37
    16  CA.gg15   1.00  26-Oct-1998     17-May-1999   O       204         5.93
    16  CA.gg15   1.00  18-May-1999     05-Jun-1999   U        19         0.76
    16  CA.gg15   1.00  06-Jun-1999     12-Jun-1999   O         7         1.20
    16  CA.gg15   1.00  13-Jun-1999     08-Nov-1999   U       149         0.31
    16  CA.gg15   1.00  09-Nov-1999     27-Dec-1999   O        49         2.53
    16  CA.gg15   1.00  28-Dec-1999     02-Jan-2000   U         6         0.96
    16  CA.gg15   1.00  03-Jan-2000     14-Jan-2000   O        12         1.17
    16  CA.gg15   1.00  15-Jan-2000     16-Jan-2000   U         2         0.96
    16  CA.gg15   1.00  17-Jan-2000     02-Jun-2000   O       138         9.10
    16  CA.gg15   1.00  03-Jun-2000     09-Jun-2000   U         7         0.91
    16  CA.gg15   1.00  10-Jun-2000     19-Jun-2000   O        10         1.24
    16  CA.gg15   1.00  20-Jun-2000     10-Oct-2000   U       113         0.37
