Id	Input_FID	ORIG_FID	X	Y
110	212	21	625217.00000000000	4036650.00000000000
111	227	22	614793.00000000000	4040070.00000000000
112	227	22	614352.00000000000	4039890.00000000000
113	227	22	614226.00000000000	4040350.00000000000
115	9	23	607526.00000000000	4040450.00000000000
116	9	23	605856.00000000000	4040100.00000000000
117	23	24	597840.00000000000	4044480.00000000000
118	23	24	597349.00000000000	4044080.00000000000
119	23	24	597508.00000000000	4045320.00000000000
120	23	24	598397.00000000000	4044840.00000000000
121	23	24	598313.00000000000	4044550.00000000000
122	23	24	598249.00000000000	4044440.00000000000
123	94	25	602220.00000000000	4043730.00000000000
124	94	25	601740.00000000000	4043420.00000000000
125	94	25	601674.00000000000	4043730.00000000000
126	94	25	601804.00000000000	4044250.00000000000
127	94	25	601548.00000000000	4044700.00000000000
128	94	25	602426.00000000000	4043510.00000000000
129	77	26	607825.00000000000	4044770.00000000000
130	77	26	607173.00000000000	4044040.00000000000
131	77	26	606711.00000000000	4045540.00000000000
132	77	26	607336.00000000000	4044780.00000000000
133	161	27	610438.00000000000	4045060.00000000000
134	161	27	610341.00000000000	4044340.00000000000
135	161	27	609906.00000000000	4044630.00000000000
140	219	28	633723.00000000000	4025570.00000000000
141	167	29	621327.00000000000	4032140.00000000000
143	167	29	619617.00000000000	4031060.00000000000
144	167	29	621078.00000000000	4030580.00000000000
145	167	29	621819.00000000000	4031780.00000000000
146	167	29	624359.00000000000	4030790.00000000000
147	166	30	622686.00000000000	4029470.00000000000
154	209	32	634763.00000000000	4027160.00000000000
155	342	33	624567.00000000000	4032940.00000000000
156	342	33	626322.00000000000	4031840.00000000000
157	342	33	625083.00000000000	4033690.00000000000
158	342	33	625638.00000000000	4033610.00000000000
159	342	33	625342.00000000000	4033320.00000000000
162	341	34	627061.00000000000	4033930.00000000000
165	335	35	624377.00000000000	4028340.00000000000
166	335	35	625048.00000000000	4032000.00000000000
169	319	36	626458.00000000000	4033090.00000000000
170	319	36	624859.00000000000	4033050.00000000000
171	319	36	624815.00000000000	4033640.00000000000
172	318	37	623444.00000000000	4033410.00000000000
173	318	37	624101.00000000000	4033280.00000000000
174	318	37	624418.00000000000	4033420.00000000000
175	238	38	625956.00000000000	4034930.00000000000
176	238	38	626141.00000000000	4033860.00000000000
177	238	38	625456.00000000000	4034790.00000000000
178	238	38	626214.00000000000	4034430.00000000000
179	237	39	624869.00000000000	4034540.00000000000
181	237	39	625309.00000000000	4034350.00000000000
182	237	39	625724.00000000000	4034000.00000000000
184	236	40	624235.00000000000	4034580.00000000000
185	236	40	624419.00000000000	4035520.00000000000
188	338	41	622196.00000000000	4031580.00000000000
189	338	41	621836.00000000000	4030140.00000000000
191	338	41	622037.00000000000	4032150.00000000000
196	336	43	621675.00000000000	4032660.00000000000
198	334	44	620389.00000000000	4029540.00000000000
199	334	44	624307.00000000000	4031510.00000000000
201	333	45	624547.00000000000	4031270.00000000000
202	333	45	624161.00000000000	4031830.00000000000
203	333	45	624446.00000000000	4032230.00000000000
204	332	46	623253.00000000000	4031210.00000000000
205	332	46	623569.00000000000	4031650.00000000000
206	332	46	623923.00000000000	4032040.00000000000
208	331	47	620574.00000000000	4029190.00000000000
212	331	47	622364.00000000000	4032050.00000000000
213	331	47	622820.00000000000	4032240.00000000000
214	331	47	623174.00000000000	4031890.00000000000
216	330	48	622186.00000000000	4032610.00000000000
217	330	48	621212.00000000000	4033350.00000000000
218	330	48	620802.00000000000	4031730.00000000000
219	330	48	621715.00000000000	4033250.00000000000
220	330	48	621990.00000000000	4033240.00000000000
221	330	48	622100.00000000000	4033140.00000000000
222	330	48	622191.00000000000	4032940.00000000000
224	329	49	621984.00000000000	4033640.00000000000
225	329	49	621617.00000000000	4033650.00000000000
226	329	49	621684.00000000000	4033810.00000000000
227	329	49	621516.00000000000	4034030.00000000000
229	328	50	621847.00000000000	4033540.00000000000
230	328	50	621633.00000000000	4033480.00000000000
233	327	51	620553.00000000000	4034380.00000000000
234	327	51	622360.00000000000	4034530.00000000000
235	326	52	620152.00000000000	4034590.00000000000
236	326	52	620736.00000000000	4033570.00000000000
238	326	52	620168.00000000000	4035000.00000000000
239	326	52	621457.00000000000	4033760.00000000000
240	321	53	623773.00000000000	4034360.00000000000
241	321	53	623749.00000000000	4034050.00000000000
242	321	53	622539.00000000000	4034170.00000000000
244	321	53	623051.00000000000	4035200.00000000000
248	320	54	624462.00000000000	4034170.00000000000
254	317	55	624941.00000000000	4031370.00000000000
257	317	55	624759.00000000000	4032760.00000000000
259	316	56	625268.00000000000	4032950.00000000000
260	316	56	622656.00000000000	4031610.00000000000
262	316	56	623295.00000000000	4032990.00000000000
263	316	56	623969.00000000000	4032890.00000000000
264	316	56	623878.00000000000	4032600.00000000000
265	316	56	623445.00000000000	4032140.00000000000
268	315	57	623569.00000000000	4032410.00000000000
273	314	58	623576.00000000000	4031970.00000000000
276	313	59	623759.00000000000	4033730.00000000000
277	313	59	623093.00000000000	4033590.00000000000
278	313	59	623162.00000000000	4033930.00000000000
279	313	59	623358.00000000000	4034120.00000000000
285	312	60	625081.00000000000	4030970.00000000000
289	311	61	621540.00000000000	4033180.00000000000
290	311	61	621374.00000000000	4032940.00000000000
291	311	61	620700.00000000000	4033130.00000000000
292	311	61	619767.00000000000	4032590.00000000000
293	311	61	619858.00000000000	4033200.00000000000
295	311	61	621171.00000000000	4034120.00000000000
296	311	61	621575.00000000000	4033390.00000000000
300	310	62	622032.00000000000	4031940.00000000000
305	308	63	623070.00000000000	4033130.00000000000
306	307	64	623061.00000000000	4033130.00000000000
307	307	64	622765.00000000000	4033050.00000000000
308	307	64	622719.00000000000	4033170.00000000000
309	307	64	622784.00000000000	4033270.00000000000
312	306	65	622873.00000000000	4033080.00000000000
315	305	66	622534.00000000000	4033080.00000000000
316	305	66	622613.00000000000	4033140.00000000000
320	304	67	622700.00000000000	4033470.00000000000
325	303	68	622512.00000000000	4033280.00000000000
326	303	68	622656.00000000000	4033660.00000000000
335	301	70	622359.00000000000	4033250.00000000000
336	301	70	622344.00000000000	4033440.00000000000
338	300	71	622344.00000000000	4033320.00000000000
344	299	72	622150.00000000000	4033360.00000000000
345	299	72	622222.00000000000	4033410.00000000000
346	299	72	622259.00000000000	4033540.00000000000
348	298	73	622460.00000000000	4033430.00000000000
350	298	73	622137.00000000000	4033950.00000000000
354	297	74	621233.00000000000	4033740.00000000000
355	297	74	620820.00000000000	4034090.00000000000
360	296	75	622004.00000000000	4033500.00000000000
364	295	76	621968.00000000000	4033370.00000000000
367	295	76	621816.00000000000	4033370.00000000000
391	288	81	623075.00000000000	4032660.00000000000
397	214	82	620059.00000000000	4033430.00000000000
398	214	82	620176.00000000000	4033910.00000000000
401	291	83	619674.00000000000	4033530.00000000000
404	290	84	618736.00000000000	4033170.00000000000
412	140	86	610546.00000000000	4034370.00000000000
413	140	86	611480.00000000000	4033440.00000000000
414	140	86	613061.00000000000	4034490.00000000000
420	254	88	611300.00000000000	4034530.00000000000
421	254	88	608983.00000000000	4033160.00000000000
423	254	88	610064.00000000000	4037800.00000000000
425	252	89	615811.00000000000	4023510.00000000000
426	252	89	607049.00000000000	4033240.00000000000
427	252	89	609586.00000000000	4033580.00000000000
428	252	89	610546.00000000000	4032620.00000000000
431	252	89	620036.00000000000	4023320.00000000000
432	256	90	607297.00000000000	4035520.00000000000
433	256	90	605863.00000000000	4037300.00000000000
434	256	90	606555.00000000000	4038670.00000000000
435	256	90	607338.00000000000	4038330.00000000000
437	251	91	607337.00000000000	4036350.00000000000
441	248	92	608929.00000000000	4040250.00000000000
442	248	92	608577.00000000000	4038590.00000000000
444	282	93	612062.00000000000	4038210.00000000000
445	282	93	613127.00000000000	4038110.00000000000
446	282	93	613340.00000000000	4037980.00000000000
447	282	93	613434.00000000000	4037730.00000000000
449	273	94	613653.00000000000	4037350.00000000000
450	273	94	613850.00000000000	4036980.00000000000
451	273	94	613376.00000000000	4036930.00000000000
452	187	95	613118.00000000000	4038380.00000000000
455	187	95	612427.00000000000	4038480.00000000000
456	187	95	613004.00000000000	4038550.00000000000
458	186	96	613482.00000000000	4038220.00000000000
462	186	96	613479.00000000000	4038830.00000000000
463	186	96	613259.00000000000	4039650.00000000000
465	162	97	614993.00000000000	4038090.00000000000
466	162	97	614897.00000000000	4037620.00000000000
467	162	97	614461.00000000000	4038380.00000000000
468	162	97	614684.00000000000	4038450.00000000000
469	162	97	615764.00000000000	4038270.00000000000
471	142	98	615960.00000000000	4035060.00000000000
472	142	98	616412.00000000000	4035260.00000000000
475	141	99	615482.00000000000	4034880.00000000000
476	141	99	616016.00000000000	4034820.00000000000
481	137	100	613650.00000000000	4038280.00000000000
482	137	100	613905.00000000000	4038000.00000000000
483	133	101	613858.00000000000	4036630.00000000000
484	133	101	615454.00000000000	4035160.00000000000
485	133	101	614508.00000000000	4035530.00000000000
486	133	101	615413.00000000000	4035870.00000000000
487	133	101	614978.00000000000	4035010.00000000000
488	132	102	616333.00000000000	4036270.00000000000
489	132	102	615756.00000000000	4035220.00000000000
490	132	102	615763.00000000000	4035450.00000000000
491	132	102	615999.00000000000	4035540.00000000000
492	132	102	616187.00000000000	4035380.00000000000
494	131	103	615699.00000000000	4035030.00000000000
500	130	104	615346.00000000000	4035340.00000000000
501	130	104	615465.00000000000	4035530.00000000000
503	130	104	615844.00000000000	4035940.00000000000
507	129	105	615470.00000000000	4035310.00000000000
508	129	105	615655.00000000000	4035410.00000000000
511	128	106	616088.00000000000	4036080.00000000000
512	128	106	615944.00000000000	4035670.00000000000
515	128	106	615785.00000000000	4036560.00000000000
518	123	107	616710.00000000000	4036980.00000000000
521	105	108	614400.00000000000	4037910.00000000000
522	105	108	613746.00000000000	4037670.00000000000
523	105	108	614177.00000000000	4038110.00000000000
527	103	109	612430.00000000000	4037560.00000000000
529	100	110	616676.00000000000	4036370.00000000000
530	100	110	612771.00000000000	4033140.00000000000
533	100	110	616090.00000000000	4036490.00000000000
534	99	111	613973.00000000000	4033070.00000000000
536	98	112	614504.00000000000	4037360.00000000000
539	98	112	614937.00000000000	4037250.00000000000
544	97	113	614385.00000000000	4038480.00000000000
545	97	113	614629.00000000000	4038670.00000000000
547	96	114	614011.00000000000	4038230.00000000000
549	96	114	613789.00000000000	4038490.00000000000
551	93	115	613376.00000000000	4036540.00000000000
554	70	116	616062.00000000000	4037620.00000000000
557	70	116	614630.00000000000	4038670.00000000000
558	70	116	616310.00000000000	4038810.00000000000
559	70	116	616505.00000000000	4035970.00000000000
561	61	117	613767.00000000000	4039040.00000000000
562	61	117	614587.00000000000	4038170.00000000000
566	59	118	615679.00000000000	4037090.00000000000
569	46	120	616359.00000000000	4034840.00000000000
573	46	120	615957.00000000000	4034340.00000000000
574	41	121	613400.00000000000	4038630.00000000000
577	41	121	613164.00000000000	4038870.00000000000
585	38	123	616337.00000000000	4036770.00000000000
586	38	123	616749.00000000000	4038900.00000000000
587	38	123	624848.00000000000	4042750.00000000000
599	32	125	617388.00000000000	4035530.00000000000
601	28	126	614222.00000000000	4034460.00000000000
608	4	127	614098.00000000000	4038520.00000000000
609	4	127	614245.00000000000	4038550.00000000000
613	324	128	623499.00000000000	4035070.00000000000
618	323	129	625150.00000000000	4036440.00000000000
619	323	129	624751.00000000000	4036750.00000000000
623	323	129	625545.00000000000	4036210.00000000000
624	322	130	625059.00000000000	4036210.00000000000
625	322	130	624451.00000000000	4036640.00000000000
627	322	130	624944.00000000000	4036330.00000000000
630	235	131	623167.00000000000	4034710.00000000000
632	235	131	624388.00000000000	4034940.00000000000
639	239	133	625724.00000000000	4034290.00000000000
642	239	133	625442.00000000000	4035520.00000000000
649	233	135	624552.00000000000	4036840.00000000000
650	233	135	624794.00000000000	4036510.00000000000
651	233	135	623631.00000000000	4036800.00000000000
653	229	136	613957.00000000000	4040710.00000000000
654	229	136	612755.00000000000	4040460.00000000000
655	229	136	612953.00000000000	4041540.00000000000
656	229	136	612353.00000000000	4041140.00000000000
657	229	136	612543.00000000000	4041770.00000000000
658	229	136	614845.00000000000	4040620.00000000000
660	226	137	615128.00000000000	4039530.00000000000
661	226	137	614538.00000000000	4039640.00000000000
662	226	137	614350.00000000000	4039880.00000000000
671	224	139	613495.00000000000	4040170.00000000000
672	224	139	613574.00000000000	4041230.00000000000
675	222	140	613847.00000000000	4039590.00000000000
676	222	140	613580.00000000000	4039820.00000000000
683	171	141	612489.00000000000	4042150.00000000000
684	147	142	614401.00000000000	4039210.00000000000
685	147	142	614149.00000000000	4039120.00000000000
686	147	142	613361.00000000000	4039320.00000000000
687	147	142	613811.00000000000	4039240.00000000000
691	147	142	614521.00000000000	4039390.00000000000
696	113	143	614263.00000000000	4038920.00000000000
699	92	144	612371.00000000000	4040700.00000000000
702	88	145	615301.00000000000	4038980.00000000000
703	88	145	614676.00000000000	4038890.00000000000
704	88	145	614567.00000000000	4038960.00000000000
705	88	145	614757.00000000000	4039130.00000000000
709	73	146	612939.00000000000	4039060.00000000000
713	69	147	614369.00000000000	4038740.00000000000
717	68	148	614562.00000000000	4038800.00000000000
718	68	148	614436.00000000000	4038870.00000000000
722	56	149	616421.00000000000	4036460.00000000000
735	53	151	612890.00000000000	4039370.00000000000
757	24	155	612179.00000000000	4039010.00000000000
758	24	155	612516.00000000000	4039290.00000000000
759	24	155	612375.00000000000	4039860.00000000000
764	287	156	612609.00000000000	4039600.00000000000
765	287	156	612014.00000000000	4039260.00000000000
766	287	156	611615.00000000000	4039770.00000000000
767	287	156	612135.00000000000	4039660.00000000000
769	277	158	609878.00000000000	4040300.00000000000
770	277	158	609326.00000000000	4041160.00000000000
771	277	158	609573.00000000000	4041680.00000000000
772	277	158	610112.00000000000	4041800.00000000000
773	277	158	610587.00000000000	4041210.00000000000
777	231	159	610940.00000000000	4040050.00000000000
778	231	159	610910.00000000000	4039790.00000000000
780	230	160	610797.00000000000	4038760.00000000000
784	230	160	611317.00000000000	4039460.00000000000
786	228	161	611715.00000000000	4041570.00000000000
787	228	161	611707.00000000000	4041580.00000000000
788	228	161	611459.00000000000	4041880.00000000000
789	228	161	611645.00000000000	4042990.00000000000
791	221	162	608453.00000000000	4039740.00000000000
792	221	162	608487.00000000000	4040890.00000000000
793	221	162	609914.00000000000	4040980.00000000000
796	201	164	608853.00000000000	4041580.00000000000
797	201	164	608852.00000000000	4041960.00000000000
798	201	164	609791.00000000000	4041450.00000000000
799	198	165	608721.00000000000	4041800.00000000000
800	198	165	608366.00000000000	4041950.00000000000
801	198	165	608749.00000000000	4042240.00000000000
802	198	165	608754.00000000000	4042060.00000000000
804	197	166	609077.00000000000	4041920.00000000000
808	195	168	608571.00000000000	4041900.00000000000
809	195	168	608655.00000000000	4041960.00000000000
812	194	169	608329.00000000000	4041410.00000000000
813	194	169	608420.00000000000	4042130.00000000000
814	194	169	608562.00000000000	4042110.00000000000
816	185	170	611966.00000000000	4041070.00000000000
817	185	170	611553.00000000000	4040400.00000000000
818	185	170	611332.00000000000	4040710.00000000000
822	152	171	610909.00000000000	4040760.00000000000
825	145	172	608377.00000000000	4042220.00000000000
826	145	172	609206.00000000000	4043430.00000000000
827	145	172	608985.00000000000	4042450.00000000000
829	104	173	610065.00000000000	4042360.00000000000
830	104	173	610456.00000000000	4042860.00000000000
831	104	173	610974.00000000000	4043120.00000000000
833	91	174	612787.00000000000	4039970.00000000000
834	91	174	612253.00000000000	4040240.00000000000
835	90	175	612452.00000000000	4040050.00000000000
836	90	175	611984.00000000000	4039950.00000000000
837	90	175	611947.00000000000	4040300.00000000000
838	90	175	612273.00000000000	4040030.00000000000
839	83	176	611006.00000000000	4042490.00000000000
841	83	176	611150.00000000000	4041540.00000000000
842	82	177	610997.00000000000	4041170.00000000000
843	82	177	610491.00000000000	4041790.00000000000
844	82	177	610945.00000000000	4041490.00000000000
845	82	177	611053.00000000000	4041280.00000000000
849	81	178	611251.00000000000	4041310.00000000000
850	75	179	612748.00000000000	4041230.00000000000
851	75	179	612120.00000000000	4040570.00000000000
853	75	179	612095.00000000000	4041440.00000000000
854	75	179	613185.00000000000	4040950.00000000000
860	71	182	611589.00000000000	4040080.00000000000
866	57	183	611368.00000000000	4041260.00000000000
871	50	184	609017.00000000000	4042100.00000000000
875	48	185	611847.00000000000	4039450.00000000000
879	48	185	611536.00000000000	4039070.00000000000
880	35	186	610973.00000000000	4041860.00000000000
881	35	186	611043.00000000000	4044130.00000000000
883	34	187	610240.00000000000	4041350.00000000000
885	34	187	610659.00000000000	4042370.00000000000
886	34	187	610696.00000000000	4041610.00000000000
887	21	188	611623.00000000000	4041020.00000000000
888	21	188	611004.00000000000	4040960.00000000000
893	21	188	611354.00000000000	4041060.00000000000
915	7	195	609269.00000000000	4041880.00000000000
922	6	196	609515.00000000000	4043020.00000000000
923	286	197	606379.00000000000	4042440.00000000000
924	286	197	605761.00000000000	4041970.00000000000
925	286	197	605660.00000000000	4042390.00000000000
926	286	197	606345.00000000000	4043620.00000000000
927	286	197	607457.00000000000	4043740.00000000000
928	286	197	606977.00000000000	4042820.00000000000
929	280	198	608062.00000000000	4042430.00000000000
930	280	198	607594.00000000000	4043180.00000000000
931	280	198	607771.00000000000	4042460.00000000000
932	280	198	608452.00000000000	4042440.00000000000
933	270	199	608008.00000000000	4042060.00000000000
934	270	199	606671.00000000000	4040780.00000000000
935	270	199	607482.00000000000	4042200.00000000000
936	270	199	608039.00000000000	4042270.00000000000
938	266	200	607063.00000000000	4042100.00000000000
939	266	200	606640.00000000000	4041850.00000000000
941	266	200	607272.00000000000	4042480.00000000000
942	266	200	607540.00000000000	4041780.00000000000
943	263	201	606539.00000000000	4040640.00000000000
944	263	201	606940.00000000000	4041510.00000000000
947	263	201	607703.00000000000	4041190.00000000000
950	247	202	607054.00000000000	4039840.00000000000
952	246	203	604953.00000000000	4038650.00000000000
953	246	203	606114.00000000000	4039410.00000000000
955	245	204	606133.00000000000	4040500.00000000000
957	245	204	606568.00000000000	4040990.00000000000
958	245	204	605948.00000000000	4040810.00000000000
960	244	205	603921.00000000000	4040680.00000000000
961	244	205	604351.00000000000	4040940.00000000000
962	244	205	605000.00000000000	4039700.00000000000
964	150	206	604932.00000000000	4040690.00000000000
965	150	206	604747.00000000000	4041350.00000000000
966	150	206	604704.00000000000	4041650.00000000000
969	146	207	608177.00000000000	4041760.00000000000
970	146	207	608195.00000000000	4042120.00000000000
971	146	207	608251.00000000000	4042230.00000000000
979	143	209	608293.00000000000	4042840.00000000000
980	143	209	608435.00000000000	4043260.00000000000
983	118	211	606469.00000000000	4041330.00000000000
988	117	212	605735.00000000000	4041390.00000000000
992	80	213	603818.00000000000	4041500.00000000000
993	80	213	604378.00000000000	4041420.00000000000
1000	78	215	604180.00000000000	4042370.00000000000
1001	78	215	604763.00000000000	4042640.00000000000
1003	64	216	607363.00000000000	4042870.00000000000
1004	64	216	607798.00000000000	4042810.00000000000
1005	63	217	607649.00000000000	4042610.00000000000
1020	242	221	603216.00000000000	4040330.00000000000
1023	240	222	602205.00000000000	4040520.00000000000
1024	240	222	600725.00000000000	4042460.00000000000
1025	240	222	601465.00000000000	4042540.00000000000
1026	240	222	601991.00000000000	4042760.00000000000
1027	192	223	603647.00000000000	4042650.00000000000
1028	192	223	604280.00000000000	4041710.00000000000
1029	192	223	603343.00000000000	4042610.00000000000
1030	192	223	603448.00000000000	4042410.00000000000
1031	191	224	603534.00000000000	4042690.00000000000
1033	191	224	603160.00000000000	4042780.00000000000
1035	188	225	602996.00000000000	4042490.00000000000
1037	188	225	603857.00000000000	4042240.00000000000
1038	279	226	597329.00000000000	4043020.00000000000
1039	279	226	596878.00000000000	4044430.00000000000
1041	279	226	598194.00000000000	4044240.00000000000
1042	276	227	600160.00000000000	4044380.00000000000
1043	276	227	600026.00000000000	4043960.00000000000
1044	276	227	598849.00000000000	4044440.00000000000
1045	276	227	599470.00000000000	4045190.00000000000
1046	276	227	600007.00000000000	4045310.00000000000
1047	271	228	596068.00000000000	4044340.00000000000
1048	269	229	596564.00000000000	4044330.00000000000
1049	269	229	596121.00000000000	4044920.00000000000
1051	268	230	596633.00000000000	4044140.00000000000
1052	268	230	596565.00000000000	4044330.00000000000
1058	262	232	598355.00000000000	4044440.00000000000
1060	261	233	596733.00000000000	4043660.00000000000
1062	259	235	598267.00000000000	4043230.00000000000
1063	259	235	598551.00000000000	4044350.00000000000
1064	259	235	598953.00000000000	4044950.00000000000
1065	259	235	599221.00000000000	4045320.00000000000
1067	259	235	599450.00000000000	4044520.00000000000
1068	259	235	599154.00000000000	4044170.00000000000
1069	259	235	598077.00000000000	4044100.00000000000
1070	180	236	599274.00000000000	4043240.00000000000
1071	179	237	599529.00000000000	4043170.00000000000
1072	179	237	598842.00000000000	4043670.00000000000
1073	179	237	599559.00000000000	4043560.00000000000
1074	179	237	599640.00000000000	4043260.00000000000
1075	176	238	599820.00000000000	4043780.00000000000
1076	176	238	599597.00000000000	4043870.00000000000
1079	176	238	599743.00000000000	4043630.00000000000
1083	169	239	599003.00000000000	4045650.00000000000
1084	169	239	599242.00000000000	4046550.00000000000
1085	169	239	603061.00000000000	4047330.00000000000
1086	169	239	600984.00000000000	4045720.00000000000
1087	169	239	600749.00000000000	4045510.00000000000
1089	163	240	600116.00000000000	4043050.00000000000
1090	163	240	599872.00000000000	4043000.00000000000
1091	163	240	599847.00000000000	4043110.00000000000
1092	163	240	599906.00000000000	4043240.00000000000
1093	163	240	600198.00000000000	4044870.00000000000
1094	163	240	600243.00000000000	4043170.00000000000
1096	157	241	600033.00000000000	4043450.00000000000
1097	157	241	599902.00000000000	4043340.00000000000
1103	156	242	600033.00000000000	4043290.00000000000
1104	136	243	598150.00000000000	4044540.00000000000
1105	136	243	598344.00000000000	4044360.00000000000
1107	135	244	598349.00000000000	4044050.00000000000
1109	135	244	598159.00000000000	4044340.00000000000
1113	95	245	596813.00000000000	4044840.00000000000
1114	95	245	597046.00000000000	4046430.00000000000
1115	95	245	597337.00000000000	4045900.00000000000
1118	87	246	598506.00000000000	4046590.00000000000
1119	87	246	598748.00000000000	4046450.00000000000
1120	87	246	599025.00000000000	4046770.00000000000
1122	44	247	598451.00000000000	4046910.00000000000
1123	44	247	597936.00000000000	4045910.00000000000
1125	44	247	597538.00000000000	4046820.00000000000
1126	44	247	598012.00000000000	4047080.00000000000
1130	29	249	598256.00000000000	4044250.00000000000
1135	25	251	598164.00000000000	4046760.00000000000
1136	25	251	598394.00000000000	4046260.00000000000
1138	25	251	598673.00000000000	4046930.00000000000
1140	22	252	598355.00000000000	4044250.00000000000
1144	5	253	597603.00000000000	4044930.00000000000
1145	5	253	598144.00000000000	4046420.00000000000
1158	0	255	600229.00000000000	4043620.00000000000
1159	285	256	601365.00000000000	4044130.00000000000
1160	285	256	601309.00000000000	4043960.00000000000
1161	285	256	601033.00000000000	4043990.00000000000
1162	285	256	601072.00000000000	4044160.00000000000
1163	285	256	601153.00000000000	4044330.00000000000
1167	284	257	601378.00000000000	4044330.00000000000
1169	283	258	600421.00000000000	4044170.00000000000
1172	283	258	600749.00000000000	4045490.00000000000
1175	281	259	601340.00000000000	4043430.00000000000
1176	281	259	600848.00000000000	4043610.00000000000
1177	281	259	600744.00000000000	4043660.00000000000
1178	281	259	600637.00000000000	4044350.00000000000
1183	275	260	600791.00000000000	4043940.00000000000
1186	275	260	600931.00000000000	4044660.00000000000
1187	275	260	600886.00000000000	4044360.00000000000
1189	274	261	602778.00000000000	4042970.00000000000
1190	274	261	603038.00000000000	4043140.00000000000
1191	274	261	603041.00000000000	4043140.00000000000
1192	274	261	603358.00000000000	4043140.00000000000
1193	274	261	603349.00000000000	4042940.00000000000
1194	272	262	603591.00000000000	4043870.00000000000
1195	272	262	603198.00000000000	4043470.00000000000
1196	272	262	602842.00000000000	4043500.00000000000
1197	272	262	603038.00000000000	4043510.00000000000
1198	272	262	602858.00000000000	4043860.00000000000
1199	272	262	603555.00000000000	4044270.00000000000
