Id	Input_FID	ORIG_FID	X	Y
1	220	0	616160.00000000000	4019910.00000000000
2	220	0	629500.00000000000	4023400.00000000000
3	220	0	628800.00000000000	4021900.00000000000
4	220	0	632700.00000000000	4025600.00000000000
5	325	1	620891.00000000000	4034890.00000000000
6	325	1	619339.00000000000	4034280.00000000000
7	325	1	618309.00000000000	4034580.00000000000
8	325	1	617289.00000000000	4033460.00000000000
9	325	1	618861.00000000000	4036860.00000000000
10	325	1	620363.00000000000	4038880.00000000000
11	325	1	621643.00000000000	4037290.00000000000
12	325	1	621714.00000000000	4035600.00000000000
14	66	2	597765.00000000000	4047430.00000000000
15	66	2	598161.00000000000	4047340.00000000000
16	66	2	598571.00000000000	4047430.00000000000
17	199	3	610634.00000000000	4040320.00000000000
18	199	3	610362.00000000000	4040780.00000000000
19	241	4	601375.00000000000	4041000.00000000000
20	241	4	602478.00000000000	4041900.00000000000
21	241	4	603089.00000000000	4041870.00000000000
22	241	4	603276.00000000000	4039080.00000000000
23	215	5	613690.00000000000	4026160.00000000000
24	215	5	608200.00000000000	4029900.00000000000
25	215	5	612200.00000000000	4029800.00000000000
26	215	5	612654.00000000000	4035370.00000000000
27	215	5	615089.00000000000	4035450.00000000000
28	215	5	615425.00000000000	4031770.00000000000
29	215	5	615551.00000000000	4033120.00000000000
30	215	5	617300.00000000000	4029800.00000000000
32	309	6	622846.00000000000	4032800.00000000000
33	309	6	622631.00000000000	4032370.00000000000
34	309	6	621869.00000000000	4033060.00000000000
35	309	6	622548.00000000000	4032850.00000000000
36	309	6	622737.00000000000	4032940.00000000000
37	309	6	622859.00000000000	4032950.00000000000
40	217	7	610800.00000000000	4027600.00000000000
41	217	7	632368.00000000000	4028170.00000000000
42	217	7	635098.00000000000	4028600.00000000000
43	207	8	623900.00000000000	4017700.00000000000
44	207	8	624378.00000000000	4022350.00000000000
47	207	8	619688.00000000000	4026190.00000000000
48	207	8	622700.00000000000	4026200.00000000000
49	207	8	629376.00000000000	4021040.00000000000
51	208	9	620835.00000000000	4020480.00000000000
52	208	9	622525.00000000000	4018340.00000000000
53	208	9	629895.00000000000	4020500.00000000000
55	208	9	621200.00000000000	4017800.00000000000
57	218	10	629450.00000000000	4021560.00000000000
58	218	10	629242.00000000000	4022500.00000000000
60	218	10	627245.00000000000	4026960.00000000000
66	134	11	620316.00000000000	4029030.00000000000
67	134	11	620444.00000000000	4027120.00000000000
73	223	12	620607.00000000000	4028860.00000000000
74	223	12	619803.00000000000	4028910.00000000000
75	223	12	620982.00000000000	4032510.00000000000
77	211	13	633800.00000000000	4029600.00000000000
78	211	13	635383.00000000000	4028890.00000000000
80	340	14	628600.00000000000	4034800.00000000000
81	340	14	629557.00000000000	4030060.00000000000
82	340	14	632195.00000000000	4033210.00000000000
83	340	14	625442.00000000000	4033120.00000000000
84	340	14	626593.00000000000	4034950.00000000000
85	340	14	627822.00000000000	4039840.00000000000
87	216	15	618065.00000000000	4033380.00000000000
88	253	16	609000.00000000000	4035560.00000000000
89	253	16	608882.00000000000	4032350.00000000000
90	253	16	604618.00000000000	4033580.00000000000
92	250	17	606649.00000000000	4035520.00000000000
93	249	18	611338.00000000000	4036480.00000000000
94	249	18	608563.00000000000	4037480.00000000000
95	249	18	608094.00000000000	4038910.00000000000
96	249	18	610023.00000000000	4039130.00000000000
97	249	18	611530.00000000000	4038510.00000000000
99	170	19	614858.00000000000	4036290.00000000000
100	170	19	614302.00000000000	4035840.00000000000
101	170	19	614282.00000000000	4036550.00000000000
102	170	19	614457.00000000000	4036950.00000000000
103	170	19	615265.00000000000	4036460.00000000000
104	232	20	623633.00000000000	4035880.00000000000
106	232	20	620575.00000000000	4040290.00000000000
107	232	20	624051.00000000000	4039100.00000000000
108	232	20	624335.00000000000	4036360.00000000000
109	212	21	625858.00000000000	4035860.00000000000
